ID	Polarity	Text
19	neu	अगर आप इसे 32 जीबी तक अपग्रेड करना चाहेंगे तो दो से तीन हजार रुपये अतिरिक्त खर्च आएगा।
20	neg	हमारे हिसाब से इस कीमत में कुछ और अन्य विकल्पों को जांच कर ही इसे खरीदने का मन बनाएं तो बेहतर होगा।
21	neu	इस टैबलेट में सात इंच की स्क्रीन है । और एंड्रायड 4.1 जैली बीन आपरेटिंग सिस्टम है । 
22	pos	 टैबलेट की स्पीड अच्छी है । क्योंकि इसमें 1.2 गीगाहर्टज कोरटेक्स ए9 श्रेणी का प्रोसेसर है । और 1 जीबी रैम है ।  
23	pos	लेकिन माइक्रोमैक्स ने इतनी कम कीमत में 1 जीबी रैम देकर दूसरी कई कम्पनियों के लिए कड़ी चुनौती पेश की है । 
24	pos	इसमें सिम कार्ड के लिए भी स्लाट है । जिससे टैबलेट का इस्तेमाल करने वालों को इसी से कालिंग की सुविधा भी मिलेगी।
25	pos	इस श्रेणी के ज्यादातर टैबलेट में अब तक केवल डोंगल के सहारे  इंटरनेट की सुविधा मिलती थी और कालिंग का विकल्प भी ज्यादातर  माडल में नहीं है ।  
26	pos	लेकिन इस टैबलेट में  बेहतर क्षमता वाली रैम, सिम कार्ड स्लाट और कालिंग की सुविधा देकर माइक्रोमैक्स 10 से 15 हजार रुपये कीमत वाले टैबलेट् को भी कड़ी टक्कर देगा।
27	neu	इस माडल में 800 गुणा 480 पिक्सल के रिजोल्यूशन के चलते स्क्रीन पर औसत डिस्प्ले मिलता है ।  
28	neg	इसकी इंटरनल मेमोरी 4 जीबी है । जिसमें से इस्तेमाल करने के लिए केवल 2 जीबी मेमोरी ही उपलब्ध है ।  
29	neg	ऐसे में इस माडल को खरीदने के साथ ही आपको कम से कम 16 जीबी का एक माइक्रोएसबी कार्ड खरीदना पड़ेगा  जिसका मतलब है । 800 से 1000 रुपये का अतिरिक्त खर्च। 
30	neu	वैसे इसमें 32 जीबी तक का माइक्रोएसडी कार्ड लगा कर मेमोरी अपग्रेड की जा सकती है ।  
31	neg	कैमरे की क्षमता बहुत अच्छी नहीं है ।  
32	neg	इंटरनेट के लिए सिम कार्ड का उपयोग किया जा सकता है । लेकिन केवल 2जी नेटवर्क ही इस पर काम करेगा। 
33	neg	अगर 3जी नेटवर्क चाहिए तो बाहर से डोंगल लगानी पड़ेगी। 
34	neu	वाइ-फाइ और ब्लूटूथ की सुविधा भी इसमें मौजूद है ।  
35	neg	सिम कार्ड से 3जी नेटवर्क कनेक्ट करने का विकल्प नहीं है । जो इस टैबलेट की सबसे बड़ी कमजोरियों में से एक है । क्योंकि ज्यादातर लोग अच्छी स्पीड के चलते इंटरनेट के लिए 3जी नेटवर्क का उपयोग करते हैं। 
36	neu	अगर आप पहली बार टैबलेट खरीद करहे हैं और आपका बजट 10 हजार रुपये से नीचे है । तो इसे खरीदना बुरा विकल्प नहीं है ।  
37	neu	 स्पीड ठीक-ठाक होने के कारण गेमिंग का ठीक ठाक मज़ा इस पर मिल सकता है ।  
38	neg	लेकिन ग्राफिक्स बहुत ज्यादा अच्छी गुणवत्ता के नहीं दिखेंगे। 
39	neg	ध्यान रहे कि इस टैबलेट की बैटरी थोड़ी कमजोर है । इसलिए लगातार इस्तेमाल करने पर दिन में एक से ज्यादा बार भी चार्ज करना पड़ सकता है ।  
40	pos	लेकिन कुल मिलाकर  इस कीमत में यह औसत से कुछ बेहतर  श्रेणी का टैबलेट है ।  
41	neg	28 हजार की कीमत के साथ लेनोवो योगा 2 को आइपैड रेटिना या सैमसंग टैब 4 या आने वाले नेक्सस 9 से बड़ी प्रतिस्पर्धा मिल सकती है ।  
42	pos	फिर भी लेनोवो योगा 2 टैबलेट एक अच्छा सौदा साबित होता है ।  
43	con	खासकर व्यावहारिक प्रयोगों में बाजार के अन्य उत्पादों से कहीं बेहतर है । लेकिन एंड्रॉयड यूआई की तरह प्रयोग में आसान नहीं है ।  
44	neu	लेनोवो योगा 2 टैबलेट से दिखने में थोड़ा अलग है । और आकार में बहुत बड़ा नजर आता है ।  
45	con	शुरुआत में टैबलेट का लुक अच्छा लगता है । लेकिन जब इसे प्रयोग करते हैं तो इसमें कुछ कमियां नजर आती हैं जिनपर ध्यान दिए जाने की जरूरत थी। 
46	pos	लेनोवो योगा 2 टैबलेट का डिजाइन अब तक के सबसे अच्छे टैबलेट डिजाइन में माना जा सकता है ।  
47	pos	पिछले जेन के लेनोवो योगा टैबलेट का ही यह परिष्कृत रूप है ।  
48	neu	योगा की तरह ही इस बार भी इसमें किकस्टैंड हैं लीकिन इस बार ‘हैंग’ का एक और पोजीशन जोड़ा गया है ।  
49	neu	लेनोवो की पुराने वाइब एक्स की तर्ह इसमें भी खुरदरी सिल्वर फिनिश का प्लास्टिक बैक दिया गया है ।  
50	pos	मेटल किक स्टैंड और प्रभावशाली डिजाइन के साथ लैपटॉप प्रीमियम होने का एहसास देता है ।  
51	neu	पूरा 9600 एमएएच की बैटरी को लेनोवो ने इसमें स्क्रीन के सबसे बाईं ओर रखा है ।  
52	neu	इस कारण बस इसी ओर से यह भारी भी महसूस होता है । और दूसरी तरफ से पकड़ने की कोशिश करने पर पूरी तरह हल्का महसूस होता है । 
53	neu	डिस्प्ले को इस तरह बनाया गया है । कि इसे पकड़ने में आपको परेशानी नहीं आती है ।  
54	pos	डिस्प्ले क्वालिटी की बात करें तो यह ब्राइट है । और तेज धूप में भी इसमें विजिबिलिटी की दिक्कत नहीं आती। 
55	neg	हालांकि इसमें फिंगरप्रिंट मैग्नेट का प्रयोग किया गया है । और यह थोड़ा रिफ्लेक्टिव भी है । 
56	pos	एंड्रॉयड 4.4 किटकैट पर चलने वाले इस टैबलेट में उच्च श्रेणी का कस्ट्माइज्ड यूआई प्रयोग किया गया है ।  
57	neg	इसका ब्लोटवेयर बहुत ज्यादा है । और लेनोवो ने अपने यूआई को आईओएस की तरह बनाने की बहुत कोशिश की है । और उसी की तरह इसमें भी कोई एप ड्रॉअर नहीं है ।  
58	neg	हालांकि इससे इसके फंक्शन्स पर कोई असर नहीं पड़ता सिवा इसके कि हम एप ड्रॉअर और एंड्रॉयड की तरह अगर इसका यूआई होता तो शायद हमें ज्यादा पसंद आता।
59	pos	1.86 गीगा हर्ट्ज का इंटेल प्रोसेसर कई बडे टास्क को एक साथ हैंडल कर सकता है ।  
60	neu	एसफाल्ट 8 खेलते हुए, 1080पी मूवी देखते हुए या यहां तक कि गूगल डॉक्स पर यह रिव्यू लिखते हुए भी कहीं कोई समस्या नहीं है ।  
61	con	टैबलेट स्क्रीन के एक तरफ स्टीरिओ स्पीकर जो वीडियो देखते के लिए अच्छा है । पर गाने सुनने के लिए इसे बहुत अच्छा नहीं माना जा सकता। 
62	pos	सिंथेटिक बेंचमार्क पर टैबलेट ने अच्छा स्कोर किया। 
63	pos	टैबलेट से जुड़ा इंटेल चिप दूसरे डिवाइसेस के मुकाबले इसे ठंढा रखता है । 
64	pos	लेनोवो योगा 2 का बैटरी परफॉर्मेंस निश्चय ही बहुत बढ़िया है ।  
65	neu	पूरी तरह चार्ज किया हुआ यह टैबलेट हमारे टेस्ट में तीन दिनों से बस कुछ ही घंटे कम चला।
66	pos	लेनोवो योगा 2 का 8 मेगा पिक्सल का कैमरा पर्याप्त रूप से अच्छा है । कि कभी-कभार किसी विशेष अवसर पर आप अच्छी लाइट में इससे अच्छे पिक्चर्स ले सकते हैं। 
67	neg	हालांकि सब्जेक्ट को फोकस करने में यह बहुत समय लगाता है । और क्लिक किए पिक्चर्स थोड़े धुंधले भी होते हैं। 
68	neg	वीडियो क्वालिटी बहुत अच्छी नहीं है । और बेहतर होगा अगर आप इसके लिए अपना स्मार्टफोन कैमरा ही प्रयोग करें। 
69	neg	कम रौशनी में भी आप इससे अच्छे पिक्चर्स नहीं ले सकते। 
70	neu	इसके अलावे फ्रंट कैमरा भी बस वीडियो चैट के लिए ही काम आने लायक है ।  
71	pos	लेनोवो योगा 2 एक अच्छे टैबलेट की श्रेणी में आता है ।  
72	pos	किकस्टैंड से इसकी उपयोगिता और भी ज्यादा हो जाती है ।  
73	pos	यह साधारण सा स्टैंड आपको टैबलेट को विविध रूपों में उपयोग कर सकने की आजादी देता है ।  
74	neu	इसलिए अगर आप एंड्रॉयड टैबलेट लेने का मन बना रहे हैं लेकिन एंड्रॉयड यूआई आपको बहुत अधिक पसंद नहीं है । तो आप निश्चित रूप से लेनोवो योगा 2 खरीद सकते हैं। 
75	pos	अच्छी बैटरी क्षमता है । 
76	pos	बढिया परफॉर्मेंस है । 
77	neg	फ्रंट कैमरा की खराब क्वालिटी है । 
78	neu	3जी और स्टैण्डर्ड सिम कार्ड के साथ वॉ यस कालिंग क्षमता
79	neu	5 मेगापिक्सेल रियर कैमरा और 1.9 मेगापिक्सेल फ्रंट फेसिंग कैमरा
80	pos	सैमसंग गैलेक्सी नोट 800 एक बेहतरीन एंड्रायड टेबलेट है , जो अपने शक्तिशाली परफॉरमेंस से बहुत से अच्छे टेबलेट्स को भी पीछे छोड़ देता है ।  
81	pos	इस टेबलेट में सब कुछ है , जैसे बहुत अच्छी शक्ति, बेहतरीन डिस्प्ले और अच्छी बैटरी लाइफ. 
82	neg	इसमें सिर्फ एक ही कमी है , और वो है । इसकी अच्छी बनावट का ना होना. 
83	neu	लेकिन इसकी बहुत सी खूबियों को देखते हुए इस कमी को अनदेखा किया जा सकता है ।  
84	pos	अगर आप एक प्रीमियम एंड्रायड डिवाइस खरीदना चाहते हैं, तो इस टेबलेट को आप अवश्य खरीदें.
85	neu	सैमसंग गैलेक्सी नोट 800 में 10.1-इंच का डिस्प्ले, फ्रंट फेसिंग कैमरा, लाइट सेंसर और स्क्रीन के दोनों तरफ दो स्पीकर्स हैं. 
86	neg	इस टेबलेट की बनावट काफी प्लास्टिक फील देता है , जो अच्छा नहीं दिखाई देता. 
87	con	हलांकि प्लास्टिक के इस्तेमाल से यह टेबलेट 600 ग्राम से कम वज़न के साथ काफी हल्का है , लेकिन यह इसे एक प्रीमियम फील बिल्कुल नहीं देता.
88	neu	इस टेबलेट के ऊपर के हिस्से में पॉवर/स्लीप/वेक बटन, वॉल्यूम रॉकर, माइक्रो एसडी कार्ड स्लॉट, आईआर बीम (जिससे आप इस डिवाइस को एक रिमोट की तरह इस्तेमाल कर सकते हैं), है ।डफ़ोन्स जैक और सिम कार्ड स्लॉट हैं.
89	pos	इस टेबलेट में दिए गए सिम कार्ड स्लॉट का इस्तेमाल ना सिर्फ 3जी डेटा के लिए हो सकता है , बल्कि इससे आप कॉल भी कर सकते हैं. 
90	neu	गैलेक्सी नोट 800 के साथ कोई ईयरपीस नहीं दिया गया है , लेकिन कॉल के लिए आप इसके स्पीकर का इस्तेमाल कर सकते हैं, और अगर आप प्राइवेसी चाहते हैं तो इसके साथ दिए गए है ।डफ़ोन्स का इस्तेमाल कर सकते हैं. 
91	neu	इस टेबलेट में नीचे के हिस्से में दाहिनी तरफ एस पेन भी दिया गया है ।  
92	pos	इसका आकार गैलेक्सी नोट से काफी बड़ा है । और इसकी बनावट काफी अच्छी है । 
93	con	भले ही इस डिवाइस की बनावट बहुत अच्छी ना हो, लेकिन शक्ति के मामले में गैलेक्सी नोट 800 अपने प्रतियोगियों को बिल्कुल पीछे छोड़ देता है ।  
94	neu	इसमें 2 जीबी रैम के साथ 1.4 गीगाहर्ट्ज़ एक्सीनस क्वाड कोर प्रोसेसर है ।  
95	neu	इसमें माली 400एमपी ग्राफ़िक्स है ।  
96	neu	गैलेक्सी नोट 800 में दिए गए 2 जीबी रैम का इसके परफॉरमेंस पर असर बिल्कुल साफ़ दिखाई देता है । 
97	neu	गैलेक्सी नोट 800 में इसके ऑपरेटिंग सिस्टम को सैमसंग के टचविज़ यूजर इंटरफ़ेस के साथ स्किन किया गया है ।  
98	pos	सैमसंग के टचविज़ यूजर इंटरफ़ेस में कस्टमाइजेशन के लिए पर्याप्त स्कोप है ।  
99	pos	गैलेक्सी नोट 800 का लॉक स्क्रीन सिंपल और अच्छा है ।  
100	pos	इस टेबलेट के डिस्प्ले में किसी भी ज़गह पर स्वाइप करके इसके स्क्रीन को अनलॉक किया जा सकता है ।  
101	neu	इसमें होम स्क्रीन के नीचे के हिस्से में सामान्य एंड्रायड बटन बैक, होम और मल्टीटास्किंग हैं.
102	pos	गैलेक्सी नोट 800 में एक बहुत उपयोगी फीचर एस पेन दिया गया है ।  
103	neu	जैसे ही आप इस एस पेन को इसके होल्डर से बाहर निकालते है , इस टेबलेट के स्क्रीन के दाहिनी तरफ कोने में एक मीनू खुल जाता है । 
104	neu	यह मीनू एस नोट्स, एस प्लानर, क्रेयान फिजिक्स, फोटोशॉप टच और पेन सेटिंग्स तक पहुंचने के लिए एक शॉर्टकट की तरह काम करता है ।  
105	pos	यह मीनू आपको उन एप्स तक तुरंत पहुंचा देता है , जो एस पेन के काम करने के दायरे में आते हैं. 
106	neg	इसमें कमी यह है । की यह मीनू अपने पसंद के एप्स को शामिल करने के लिए कस्टमाइज नहीं किया जा सकता है । 
107	pos	गैलेक्सी नोट 800 का डिस्प्ले काफी अच्छा है ।  
108	con	इसमें 1280 x 800 पिक्सेल रेजोल्यूशन का डिस्प्ले है । जो ट्रांसफार्मर प्राइम में भी है , लेकिन यह आईपैड के डिस्प्ले से काफी पीछे है ।  
109	con	लेकिन इसका स्क्रीन रेजोल्यूशन कम होने के बावजूद इसके डिस्प्ले का परफॉरमेंस बहुत अच्छा है ।  
110	pos	इसमें ब्लैक लेवल काफी गहरे हैं और इसमें देखने का एंगल अब तक के सर्वोत्तम में से एक है ।  
111	pos	चाहे टेक्स्ट, इमेज या वीडियो की बात हो, इसका डिस्प्ले हर मामले में काफी अच्छा साबित होता है । 
112	pos	बेंचमार्क टेस्ट में गैलेक्सी नोट 800 का परफॉरमेंस शानदार है ।  
113	pos	हमने इस टेबलेट पर बहुत से गेम्स और एप्स चलाये, और वे इस पर बहुत आसानी से चले. 
114	pos	इस टेबलेट पर मल्टीमीडिया देखना काफी मजेदार अनुभव है ।  
115	pos	इस डिवाइस में स्पीकर्स सामने होने के कारण इसकी आवाज़ काफी अच्छी रहती है , और इसलिए इस पर गेम्स या एप्स चलाना या मूवी देखना काफी अच्छा रहता है । 
116	neu	सैमसंग ने गैलेक्सी नोट 800 के साथ एक नया फीचर मल्टीस्क्रीन प्रस्तुत किया है ।  
117	neu	इसमें स्क्रीन पर एक साथ दो एप्स चला सकते हैं. 
118	neu	गैलेक्सी नोट 800 में 7000 एमएएच की बैटरी दी गई है ।  
119	neu	हमने इस पर 720पी एचडी एमपी4 वीडियो फुल ब्राइटनेस और फुल वॉल्यूम पर चलाया, और इसकी बैटरी लगभग 6 घंटे तक चलती है ।  
120	pos	यह एक काफी अच्छा बैटरी परफॉरमेंस है ।  
121	pos	सामान्य इस्तेमाल में इस टेबलेट की बैटरी दो दिन तक चल जाती है । और फिर भी इसमें 25 प्रतिशत तक बैटरी लाइफ शेष रहती है । 
122	pos	सैमसंग गैलेक्सी नोट 800 एक बहुत अच्छे परफॉरमेंस वाला बेहतरीन टेबलेट है ।  
123	pos	इस टेबलेट में वो सब कुछ है , जो आप चाहते है ।  
124	pos	यह बहुत शक्तिशाली है । और इसका डिस्प्ले शानदार है ।  
125	pos	इसकी बैटरी लाइफ भी काफी अच्छी है ।  
126	pos	इस टेबलेट में एस पेन के साथ और कई अच्छे फीचर्स हैं. 
127	neg	इसमें सिर्फ एक ही कमी है , कि इसकी बनावट की क्वालिटी बहुत अच्छी नहीं है ।  
128	pos	अगर आप एक अच्छे परफॉरमेंस वाला प्रीमियम एंड्रायड डिवाइस चाहते हैं, तो आप इस टेबलेट को अवश्य खरीदें.
129	neu	5 मेगापिक्सेल का रियर कैमरा और 1.2 मेगापिक्सेल का फ्रंट फेसिंग कैमरा

132	pos	दो साल के भीतर इसका चौथा वर्ज़न पेश होने के बावजूद एपल आईपैड की बादशाहत अभी भी बरक़रार है ।  
133	pos	एपल आईपैड 4 इस समय उपलब्ध सर्वोत्तम बड़ा टेबलेट है । जिसे आप खरीद सकते हैं. 
134	pos	इसमें सब कुछ बेहतरीन है , जैसे सर्वोत्तम परफॉरमेंस, बेहतरीन डिस्प्ले, आश्चर्यजनक रूप से अच्छा कैमरा, तेज़ वाई-फाई और शानदार एप्स वाली बड़ी लाइब्रेरी. 
135	pos	बाज़ार में उपलब्ध अन्य 10-इंच वाले टेबलेट्स से अलग, एपल आईपैड 4 पूरे पैकेज के साथ है , जो इसे एक बहुत खास फाइव-स्टार प्रोडक्ट बनाता है । और यह एडिटर्स चॉइस के लिए एक विश्वशनीय दावा पेश करता है । 
136	neu	आईपैड 4, पुराने आईपैड की तरह ही आईओएस 6 पर काम करता है ।  
137	pos	आईफ़ोन 5 में लगा ए6 प्रोसेसर भी काफी शक्तिशाली था, 
138	pos	आईपैड 4 में लगा ए6एक्स प्रोसेसर उससे भी बेहतर है । और इससे ग्राफ़िक्स बहुत शानदार आते हैं.
139	pos	बेंचमार्क टेस्ट में एपल आईपैड 4 के शानदार परिणाम आते हैं. 
140	pos	यह चौथी पीढ़ी का आईपैड, गीकबेंच और जीएलबेंचमार्क स्कोर में बाकी सभी एपल प्रोडक्ट्स को पीछे छोड़ देता है ।  
141	pos	हां, यह दूने से भी ज्यादा तेज़ है ।  
142	pos	हमने देखा कि जो एप्स आईपैड 3 के ए5 प्रोसेसर को मुश्किल में डाल दे रहे थे, उन्हें आईपैड 4 पर चलने में कोई परेशानी नहीं हुई.
143	pos	एपल आईपैड 4 का गेमिंग परफॉरमेंस भी काफी बेहतर है ।  
144	pos	बहुत भारी गेम्स भी जैसे नीड फॉर स्पीड और एस्फाल्ट 7 भी 60 फ्रेम प्रति सेकेंड के हिसाब से इस पर काफी अच्छी तरह से चलते हैं. 
145	pos	जीएलबेंचमार्क ग्राफ़िक्स टेस्ट के स्कोर इस बात के गवाह हैं कि आईपैड 4 का गेमिंग परफॉरमेंस, बाकी सभी डिवाइस से काफी बेहतर रहा है । 
146	neu	नए आईपैड 4 में 1.2 मेगापिक्सेल का फ्रंट फेसिंग कैमरा है । जो 720पी वीडियो रिकॉर्ड कर सकता है ।  
147	neu	इसका रियर कैमरा 5 मेगापिक्सेल का है । जो 1080पी फुल एचडी वीडियो रिकॉर्ड कर सकता है ।  
148	pos	इसका कैमरा एपल आईपैड मिनी की तरह ही बेहतरीन परफॉरमेंस देता है ।  
149	pos	इसके 5 मेगापिक्सेल कैमरे से लिये गए फोटो और 30 फ्रेम प्रति सेकेंड वाले 1080पी वीडियो काफी शार्प, क्लियर और संतुलित हैं.
150	con	हम एपल आईपैड 4 को सर्वोत्तम 10-इंच के टेबलेट की रेटिंग दे रहे हैं, जबकि इसका छोटा स्वरूप आईपैड मिनी सबसे अच्छा 7-इंच का टेबलेट नहीं है ।  
151	pos	आईपैड 4 का परफॉरमेंस अन्य सारे प्रतियोगियों की तुलना में बहुत आगे है , और इसके अधिक कीमत के अनुरूप ही इसमें प्रीमियम स्क्रीन और प्रोसेसर हैं. 
152	pos	टेबलेट के इस्तेमाल के लिए बनीं आईपैड के एप्स की लाइब्रेरी लोगों के लिए काफी उपयोगी साबित होती है ।  
153	pos	कुल मिलाकर चौथी पीढ़ी का यह एपल आईपैड 4 एकमात्र ऐसा प्रोडक्ट है , जिसे हमने पूरे पांच स्टार दिए हैं, क्योंकि यह टेबलेट्स के लिए एक प्रतिमान स्थापित करता है । 
161	pos	सोनी का एक्सपीरिया टेबलेट जेड इस समय भारत में उपलब्ध सर्वोत्तम एंड्रायड टेबलेट है । जिसे आप खरीद सकते हैं. 
162	pos	इसमें बहुत सारे फीचर्स हैं, जैसे खास भारत के लिये बने कंटेंट, एक अच्छा स्किन, पतला और सुन्दर आकार और इसके अन्दर अच्छी शक्ति. 
163	neg	इसमें कमी यह है । कि इसे एंड्रायड अपडेट मिलने में देरी हो सकती है । और इसके अन्दर सिर्फ 16 जीबी का ही स्टोरेज है ।  
164	pos	लेकिन यह टेबलेट बहुत शक्तिशाली, खूबसूरत और पानी से सुरक्षित है ।  
165	con	अगर कीमत आपके लिए कोई समस्या नहीं है , तो आप इस डिवाइस पर विचार कर सकते हैं. 
166	pos	यह टेबलेट एपल आईपैड का एक काफी योग्य प्रतियोगी है । 
167	pos	सोनी एक्सपीरिया टेबलेट जेड 6.9 एमएम मोटाई के साथ बाज़ार में उपलब्ध सबसे पतला टेबलेट है ।  
168	pos	495 ग्राम वज़न के साथ यह काफी हल्का टेबलेट है ।  
169	neu	यह एंड्रायड 4.1 जेली बीन ऑपरेटिंग सिस्टम पर काम करता है । और इसके ओएस पर स्किन है ।  
170	pos	इस टेबलेट के साथ बहुत सारे खास भारत के लिए बने कंटेंट, जैसे सोनी टीवी शोज और म्यूजिक कंटेंट आदि हैं. 
171	pos	इस टेबलेट से सोनी के गेम्स की लाइब्रेरी को भी इस्तेमाल किया जा सकता है ।  
172	pos	यह टेबलेट यूनिवर्सल रिमोट की तरह काम कर सकता है । और यह पानी से सुरक्षित भी है ।  
173	pos	सोनी एक्सपीरिया टेबलेट जेड एक ऐसा डिवाइस है । जो हमें देखते ही बहुत पसंद आया. 
174	pos	यह टेबलेट वास्तव में बहुत पतला और हल्का है ।  
175	pos	इसकी सबसे अच्छी बात यह है । की ये पकड़ने में बहुत आरामदेह है , क्योंकि इसके पीछे के हिस्से में बहुत ही स्मूद रबर फिनिश है ।  
176	neg	इस टेबलेट में पीछे बाएं किनारे पर कैमरा है , लेकिन इसके साथ फ़्लैश नहीं है । 
177	neu	एक्सपीरिया टेबलेट जेड में सामने 10.1-इंच का डिस्प्ले, फ्रंट फेसिंग कैमरा है । और कोई फिजिकल बटन नहीं है ।  
178	neg	इसका डिस्प्ले चिकना है । और इस पर उंगलियों के निशान आसानी से लग जाते हैं. 
179	neu	इस टेबलेट में बायीं तरफ पॉवर बटन और वॉल्यूम रॉकर हैं. 
180	neu	पॉवर बटन के ऊपर एक फ्लैप है , जिसके अन्दर है ।डफ़ोन्स जैक है ।  
181	neu	इस टेबलेट के नीचे के हिस्से में माइक्रो यूएसबी पोर्ट, सिम कार्ड स्लॉट और माइक्रो एसडी कार्ड स्लॉट हैं.
182	pos	सोनी ने एक्सपीरिया टेबलेट जेड में स्पीकर्स का प्लेसमेंट बहुत समझदारी से किया है ।  
183	neu	लैंडस्केप मोड में इसे पकड़ने पर इसमें दो स्पीकर्स नीचे की तरफ लगे हैं, और एक-एक स्पीकर दोनों किनारों पर लगे हैं. 
184	pos	कुल मिलाकर सोनी एक्सपीरिया टेबलेट जेड की डिज़ाइन बहुत खूबसूरत, सिंपल और सुविधाजनक है । 
185	pos	बेंचमार्क टेस्ट में एक्सपीरिया जेड का परफॉरमेंस बहुत शानदार रहता है ।  
186	pos	इस टेबलेट के अन्दर अच्छी शक्ति होने के कारण हमें इसके अच्छे प्रदर्शन पर कोई आश्चर्य नहीं है ।  
187	pos	वास्तविक इस्तेमाल में भी एक्सपीरिया टेबलेट जेड का परफॉरमेंस शानदार रहता है ।  
188	con	हलांकि कुछ मौकों पर इसमें बहुत मामूली सी देरी होती है , लेकिन यह कोई बड़ी बात नहीं है ।  
189	pos	कुल मिलाकर इसका परफॉरमेंस बेहतरीन है ।  
190	pos	एक्सपीरिया टेबलेट जेड का कीबोर्ड काफी अच्छा है । और इस पर टाइप करना काफी सुविधाजनक रहता है ।  
191	pos	इसके टचस्क्रीन का रिस्पोंस भी बहुत अच्छा है । और इसे इस्तेमाल करना बहुत मज़ेदार रहता है ।  
192	con	इसके डिस्प्ले का रेजोल्यूशन आईपैड के रेटिना डिस्प्ले जितना तो नहीं है , लेकिन फिर भी यह काफी आकर्षक है ।  
193	pos	इस पर वीडियो तीक्ष्ण और क्रिस्प दिखाई देते हैं और इसका देखने का एंगल भी काफी बढ़िया है ।  
