ID	Polarity	Text	
56	neu	बैहर खेल मैदान में 4 अप्रैल से शुरू हो रहे दो दिवसीय बैगा ओलिंपिक में आसपास के जिलों के साथ अन्य राज्यों के बैगा भी शामिल होंगे।	category=
57	neu	बालाघाट टूरिज्म प्रमोशन काउंसिल,आदिवासी विकास विभाग व संस्कृृति विभाग द्वारा आयोजित बैगा ओलिंपिक में बालाघाट ही नहीं शहडोल , अनूपपुर ,उमरिया ,मंडला, डिंडौरी के ,ाछ छत्तीसग़$ढ के कवर्धा व राजनांदगांव के बैगा भी हिस्सा लेंगे। 	category=
58	neu	करीब 750 बैगा प्रतिभागी इसके भागीदार होंगे। 	category=
59	neu	सभी प्रतिभागी बैहर पहुंच गए हैं, जिन्हें स्थानीय आदिवासी छात्रावासों में ठहराया गया है।	category=
60	neu	जिले में पर्यटन संबंधी गतिविधियों को ब़$ढावा देने , नए पर्यटन स्थलों का चयन करने, पर्यटन व्यवसाय को ब़$ढावा देने के लिए बालाघाट टूरिज्म प्रमोशन काउंसिल का गठन किया गया है। 	category=
61	neu	इस काउंसिल द्वारा जिले में निवास करने वाली विशेषष पिछ़$डी जनजाति बैगा की संस्कृृति के संरक्षण व संवर्धन के लिए बैगा जनजाति के लोगों को विकास की मुख्य धारा से जा़$ेडने के मकसद से बैगा ओलिंपिक का आयोजन किया जा रहा है।	category=
62	pos	बैगा ओलिंपिक में बैगा जनजाति के लोग ही शामिल होंगें और पारंपरिक खेल टिल्ली, गोबरंडा, शिकारी खेल धनुषषबाण, रस्सा--कसी, मटका दौ़$ड, बोरा दा़$ैड, बाधा दौ़$ड, त्रिटंगी दा़$ैड, बजनी खेल ([कुश्ती)], लीपा--पोती, कबड्डी, खो--खो की प्रतियोगिताएं होंगी व रात्री में बैगा नृृत्य और अन्य सांस्कृृतिक कार्यक्रम होंगे।	category=
63	neu	कान्हा राष्ट्रीय उद्यान के भ्रमण के लिए आने वाले पर्यटकों को इस आयोजन के द्वारा बैगा संस्कृृति और उनकी परम्पराओं को करीब से देखने का अवसर मिलेगा। 	category=
64	neu	कान्हा राष्ट्रीय उद्यान से लगे रिसोर्ट व पर्यटन व्यवसायियों से भी कहा गया है कि वे बैगा ओलिंपिक में अधिक से अधिक पर्यटकों को लायें। 	category=
65	neu	कृृषिष मंत्री बैगा ओलिंपिक का उद्घाटन करेंगे।    	category=
66	pos	ताज को इतना खूबसूरत बनाते हैं कि दुनिया भर के सैलानी यहां बरबस खिंचे चले आते हैं। 	category=
67	neg	यह खासियत धीरे-धीरे खत्म हो रही है। 	category=
68	neg	पच्चीकारी नष्ट हो रही है और नगीने उखड़ गए हैं। 	category=
69	neg	संगमरमर के पत्थर भी चटके हैं। 	category=
70	neu	मगर, इस तरफ कोई ध्यान नहीं दिया जा रहा।	category=
71	pos	 अद्भुत पच्चीकारी और दीवाल में जड़े खूबसूरत नगीने। 	category=
72	neu	सिविल कोर्ट में इसे शिवालय घोषित करने की मांग को लेकर वाद दायर किया गया है। 	category=
73	neg	वहीं, संसद की पर्यावरण संबंधी स्थायी समिति ने भी निरीक्षण कर उसके पीले पडऩे पर मुहर लगा दी है। 	category=
74	neu	मगर, इससे भी बड़ी चिंता उसकी खासियत के अस्तित्व को बचाने की है।	category=
75	pos	ताज की खूबसूरती उसकी पच्चीकारी और एकरूपता में है। 	category=
76	pos	एक तरफ जिस डिजाइन में पच्चीकारी की गई है, दूसरी ओर भी हूबहू वही डिजाइन है। 	category=
77	neg	मगर, अब मुख्य मकबरे पर ताज की पच्चीकारी बदशक्ल हो रही है। 	category=
78	neg	कई जगह यह पूरी तरह नष्ट हो गई है तो कहीं पच्चीकारी युक्त पत्थर दीवाल से निकल रहे हैं।	category=
79	neg	मुगल काल में पत्थरों के ज्वाइंट को मजबूत बनाने के लिए लगाई गई लोहे की क्लिप की वजह से कई जगह संगमरमर के पत्थर चटक गए हैं। 	category=
80	neg	जिससे ताज का सौंदर्य नष्ट हो रहा है।	category=
81	neg	भारतीय पुरातत्व सर्वेक्षण (एएसआइ) ने ताज के निकले खूबसूरत नगीने दोबारा जडऩे की योजना तैयार की थी, मगर यह अब तक कागजों से निकलकर अमल में नहीं आ पाई है। 	category=
82	neg	शनिवार को निरीक्षण के लिए आई संसदीय समिति ने भी ताज की पच्चीकारी के नष्ट होने पर उसकी समानता नष्ट होने पर चिंता जताई थी। 	category=
83	neu	समिति ने अफसरों से ताज के संरक्षण की समग्र योजना मांगने के साथ विदेशों से एक्सपर्ट बुलाने के निर्देश दिए हैं। 	category=
84	pos	जिससे कि ताज की खासियत उसकी समानता बरकरार रहे।	category=
85	neu	ताज के निर्माण के लिए सफेद संगमरमर मकराना की खानों से मंगवाया गया था। 	category=
86	neu	वहीं, पच्चीकारी के लिए चीन, रूस, इराक, तिब्बत, अफगानिस्तान, श्रीलंका आदि देशों से पत्थर मंगाया गया था।	category=
87	neu	भारत की खोज सड़कों पर सफर करते हुए की जा सकती है। 	category=
88	pos	उन विहंगम छटाओं को जिसे देखकर आपकी ज़ुबाँ से बरबस ही उसकी प्रशंसा में शब्द निकल पड़े। 	category=
89	pos	अतुल्य भारत और उसकी प्राकृतिक छटा को महानगरों में नहीं बल्कि इन सड़कों के दोनों ओर देखा जा सकता है। 	category=
90	pos	गाड़ियों की खिड़कियों से क्षण-प्रतिक्षण तेजी से गुजरते हुए वन, धान के खेत, हिमाच्छिदत पहाड़ों की चोटियाँ किसी के भी सफर को सुहाना बनाने हैसियत रखते हैं। 	category=
91	pos	रोमांचक और मनोरम यात्रा के लिये यहाँ जरूर जाइये। 	category=
92	pos	खारदुंग ला दर्रा लेह से 40 किमी दूर खारदुंग ला दर्रा मध्य एशिया में कशगर को लेह से जोड़ने वाला ऐतिहासिक मार्ग है। 	category=
93	neu	समुद्र तल से लगभग 5602 मीटर (18,380 फीट) की ऊँचाई पर स्थित यह दर्रा विश्व का सबसे ऊँचा दर्रा है। 	category=
94	pos	'श्योक' और 'नुब्रा' घाटियों को जोड़ने वाला यह दर्रा मोटर साइकिल और पहाड़ों के बाइक अभियान के लिए विश्व प्रसिद्ध है।	category=
95	neu	रोहतांग दर्रा समुद्र तल से 4,111 मीटर की ऊँचाई पर स्थित रोहतांग दर्रा हिमालय (भारत) में स्थित एक प्रमुख दर्रा है। 	category=
96	neu	हिमाचल प्रदेश के प्रसिद्ध पर्यटन स्थलों में से एक इस दर्रे को लाहोल और स्पीति जिलों का प्रवेश द्वार कहा जाता है।	category=
97	neu	कोंकण राष्ट्रीय राजमार्ग 17 पाँवेल के जरिये मुम्बई को कोच्चि से जोड़ने वाली 582 किलोमीटर की यह सड़क महाराष्ट्र, गोवा, केरल और कर्नाटक को जोड़ती है। 	category=
98	pos	मुम्बई-गोवा राजमार्ग के नाम से जानी जाने वाली यह सड़क पहाड़ियों, नदियों और वनों से गुजरते हुए पश्चिम में अरब सागर की ओर जाती है जिसके दोनों ओर धान के खेत और नारियल के पेड़ एक विहंगम दृश्य की रचना करते दिखते हैं।	category=
99	pos	पहाड़ियों को नज़दीक से देखने के श़ौकीन लोगों के लिये शिमला से किन्नौर का रास्ता चरम सुख देने वाला हो सकता है। 	category=
100	pos	इस मार्ग पर सफर करते हुए शाहबलूत से बुरूंश और लाल-पीले सेबों के ब़ागों से होते हुए किन्नौर कैलाश चोटी के जरिये प्रकृति को अपनी मनमोहक छवि को बदलते देखा जा सकता है।	category=
101	neu	गंगटोक युकसोम मार्ग पूर्वी हिमालय के गोद में बनी यह सड़क गंगटोक से शुरू होकर हिमाच्छादित पहाड़ियों से होकर गुजरती है। 	category=
102	neu	शक्तिशाली कंचनजंगा अथवा भारत और चीन की सीमाओं को बाँटने वाली नाथू ला दर्रे को देखने के लिये इस सड़क के सहारे युकसोम तक जाना पड़ता है।       	category=
103	pos	शीतकालीन पर्यटन को बढ़ावा देने में नेहरू पर्वतारोहण संस्थान (निम) भी मदद करेगा। 	category=
104	neu	स्थानीय टूर और टै्रकिंग एजेंसियों की बैठक में निम ने अपनी भूमिका स्पष्ट की। 	category=
105	neu	इससे शीतकालीन पर्यटन को एक और आयाम मिल गया है।	category=
106	neu	शीतकालीन पर्यटन को बढ़ावा देने के लिए स्थानीय टूर और ट्रैकिंग एसोसिएशन ने भी अपनी कोशिशें शुरू कर दी हैं। 	category=
107	neu	सोमवार को निम सभागार में आयोजित बैठक में शीतकालीन पर्यटन के विभिन्न पहलुओं पर चर्चा की गई। 	category=
108	pos	भारत में लोगों के बीच हिल स्टेशन का क्रेज जबरदस्त है। 	category=
109	pos	मौसम कोई सा भी हो लोग हिल स्टेशन जाना नहीं भूलते। 	category=
110	pos	मुन्नार केरल का एक खूबसूरत हिल स्टेशन है। 	category=
111	pos	दूर-दूर तक फैले खूबसूरत चाय के बागान, हरी-भरी घाटियां, सुहाना मौसम, ऊंची-ऊंची चोटियां, अभयारण्य, प्राकृतिक खुशबू से भरी हवा के अलावा बाकी वह सब कुछ है जिसे देखने के बाद आपको शांति और सुकून ही मिलेगा।	category=
112	pos	मुन्नार की खूबसूरती को देखकर ऐसा लगता है, जैसे कि यह धरती का स्वर्ग है। 	category=
113	pos	मुन्नार की सुन्दरता इतनी अधिक है कि इसे ईश्वर का देश भी कहा जाता है। 	category=
114	pos	ऐसा लगता है मानो कि हम किसी ईश्वर की भूमि पर उतर आए। 	category=
115	pos	आपको यहा आने के बाद जाने का बिलकुल ही मन नहीं करेगा। 	category=
116	pos	यहां की झीलें और घने जंगल इसकी खूबसूरती में चार चांद लगा देते हैं। 	category=
117	neu	ब्रिटिश शासन के दौरान अंग्रेजो के लिए मुन्नार दक्षिणी भारत का गर्मियों का रिजॉर्ट हुआ करता था।	category=
118	neu	वनों की विलक्षण वनस्पति तथा हरे घास के मैदानों के बीच यहां नीलकुरंजी नामक फूल पाया जाता है। 	category=
119	neu	हरे घास के मैदानों में नीलकुरंजी फूल पूरी पहाड़ी को नीला कर देता है। 	category=
120	neu	यह फूल बारह वर्षो में केवल एक बार ही खिलता है। 	category=
121	pos	जब यह फूल खिलता है तो इसकी सुंदरता देखते ही बनती है।	category=
122	pos	मुन्नार में देखने लायक जगह हैं आनामुड़ी शिखर, राजमाला, चितीरापुरम, इकोपाइंट और मट्टुपेटी बांध। 	category=
123	pos	मुन्नार की खूबसूरती पोतैमेदु में है, जो एक महत्त्वपूर्ण चाय बागान है।	category=
124	pos	अगर आप रोमांचक खेल के शौकीन हैं तो मुन्नार में आपके लिए बहुत कुछ है। 	category=
125	neu	जैसे ट्रैकिंग, पारा ग्लाइडिंग, रोप क्लाइबिंग बोटिंग और हाइकिंग। 	category=
126	pos	वैसे तो आप पूरे साल मुन्नार जा सकते हैं लेकिन यदि आपको इसकी खूबसूरती देखनी है तो दिसंबर और जनवरी का महीना सही माना जाता है।	category=
127	neu	मुन्नार पहुंचने के लिए आप हवाई मार्ग, रेल मार्ग या सड़क मार्ग तीनों का इस्तेमाल कर सकते हैं। 	category=
128	neu	कोच्चि अंतर्राष्ट्रीय हवाई अड्डा मुन्नार के लिए सबसे नजदीकी हवाई अड्डा है। 	category=
129	neu	नजदीकी रेलवे स्टेशन तमिलनाडु का थेनी है जो मुन्नार से 60 किलोमीटर की दूरी पर है।   	category=
130	pos	भारत का पूर्वोत्तर राज्य अपनी प्राकृतिक सुंदरता और बदलते मौसम की वजह से पूरे विश्वभर में अपनी पहचान रखता है। 	category=
131	neu	यहां की कला और हस्तशिल्प की भव्यय विरासत तथा रंग बिरंगे त्यौहार प्रकृति की अपार शक्ति में लोगों के विश्वास को दर्शाता है।	category=
132	pos	ऐसी ही एक जगह है अरुणाचल प्रदेश में समुद्री तल से 5754 फीट (1,780 मीटर) की ऊंचाई पर स्थित जाइरो/जिरो, जो अपने सांस्कृसतिक विरासत और मनमोहक दृश्य के लिए जाना जाता है। 	category=
133	pos	अपनी खूबसूरती की वजह से ही यह कस्बा यूनेस्को के विश्व विरासत स्थलों में नामांकित भी हुआ है।	category=
134	neu	अरूणाचल प्रदेश के सबसे प्रचीन शहरों में से एक, जाइरो एक छोटा सा हिल स्टेशन है जो पाइन के पेड़ों से भरी पहाड़ियों से घिरा हुआ है। 	category=
135	neu	पूरे क्षेत्र में फैले घने जंगल ही आदिवासी लोगों के घर हैं। 	category=
136	pos	यह क्षेत्र अपनी धान की खेतों की वजह से भी काफी लोकप्रिय है। 	category=
137	pos	जाइरो पौधों और जन्तुओं के मामले में काफी धनी है तथा अपनी विविधता की वजह से प्रकृति प्रमियों के लिए आदर्श स्थान बनी हुई है।	category=
138	pos	जाइरो में आदिवासी लोगों का प्रकृति से इतना अधिक लगाव है कि वह प्रकृति को भगवान की तरह पूजते हैं और खुद को इससे जुड़ा हुआ पाते हैं। 	category=
139	neu	वहां के लोग खेतो के अलावा हस्तशिल्प तथा हैन्डलूम उत्पादों को बनाकर अपना जीवनयापन करते हैं। 	category=
140	neu	अन्य आदिवासी लोगों से अलग अपा टनी के लोग जाइरो क्षेत्र के स्थाई निवासी हैं। 	category=
141	neu	अपा टनी द्वारा मनाए जाने वाले कई पर्व हैं जिनमें मार्च में मनाया जाने वाला म्योको त्यौहार, जनवरी में मनाया जाने वाला मुरुंग त्यौहार और जुलाई का द्री त्यौहार प्रमुख हैं।	category=
142	neu	अगर आप जाइरो जाने की योजना बना रहे हैं तो आप हरी-भरी शांन्त टैली घाटी, 5000 हजार साल पुरानी मेघना गुफा मंदिर जा सकते हैं। 	category=
143 	pos	यही नहीं खूबसूरत पक्षियों और सूर्योदय के खूबसूरत दृश्य देखना है तो आप किले पाखो भी जा सकते हैं। यह यहां का लोकप्रिय पर्यटन स्थल है।	category=
144	neu	आजादी के बाद यहां पर अरूणाचल प्रदेश के पहले प्रशासनिक केन्द्र की स्थापना की गई थी। 	category=
145	neu	इसके बाद छठे दशक में यहां पर सेना के कैम्प का निर्माण भी किया गया। 	category=
146	pos	पहाड़ी क्षेत्र होने की वजह से खूबसूरत दृश्य भी देखे जा सकते हैं।	category=
147	pos	हपोली से 2 किलोमीटर की दूरी पर स्थित डोलो-मांडो डोलो और मांडो के प्रेम-संबंध के लिए प्रसिद्ध है। 	category=
148	pos	यहां से जाइरो और हपोली शहर के खूबसूरत दृश्य देखे जा सकते हैं।	category=
149	pos	पर्यटकों के लिए पसंदीदा जगहों में से एक 'मछली फार्म' हपोली से 3।5 किमी। की दूरी पर स्थित है। 	category=
150	pos	यह बहुत ही खूबसूरत जगह है। 	category=
151	pos	यहां आने वाले पर्यटक अनेक प्रजातियों की खूबसूरत मछिलयों को देख सकते हैं।	category=
152	neu	जाइरो की जलवायु मौसम के अनुसार बदलती रहती है। 	category=
153	pos	वैसे तो पर्यटक पूरे साल भर जाइरो जाते हैं लेकिन यदि आपको वहां के मनमोहक दृश्य को देखना है अक्टूबर तथा नवम्बर का महीना आपके लिए सही रहेगा।    	category=
154	pos	देवाधिदेव महादेव (भगवान शिव) को सर्वोच्च देवता के रूप में पूजने वाले उपासकों के लिए तमिलनाडु का चिदंबरम/नटराज मंदिर आस्था और सौंदर्य के प्रमुख केंद्रों में से एक है।	category=
155	neu	हिन्दू साहित्य के मुताबिक चिदंबरम मंदिर उन पांच पवित्र शिव मंदिरों में से एक है, जो प्रकृतिक के पांच महत्वपूर्ण तत्वों का प्रतिनिधित्व करता है। 	category=
156	neu	चिदंबरम मंदिर आकाश का प्रतिनिधित्व करता है वहीं आंध्र प्रदेश में कालहस्ती मंदिर- वायु, थिरुवनाईकवल जम्बुकेस्वरा- जल, कांची एकाम्बरेस्वरा- पृथ्वी और थिरुवन्नामलाई अरुणाचलेस्वरा- अग्नि को प्रतिनिधित्व प्रदान करते हैं।	category=
157	neu	लगभग 50 एकड़ में फैला यह रहस्यमयी मंदिर द्रविड़ वास्तुकलाशैली को दर्शाता है। 	category=
158	pos	इसकी संरचना अपने आप में आकर्षक और विशिष्ट है। 	category=
159	pos	मंदिर की आंतरिक साज-सज्जा और शिल्पकारी के अलावा विशाल गुंबदों ने इसे भव्य स्वरूप प्रदान किया है।	category=
160	pos	इस मंदिर की एक अनूठी विशेषता आभूषणों से युक्त नटराज की छवि के रूप में भगवान शिव को भरतनाट्यम नृत्य के देवता के रूप में प्रस्तुत किया गया है। 	category=
161	pos	यह मंदिर भारत के उन गिनेचुने मंदिरों में से एक हैं जहां शिव को प्राचीन लिंगम के स्थान पर मानवरूपी मूर्ति के रूप में प्रतिष्ठित किया गया है।	category=
162	neu	चिदंबरम जाने के लिए चेन्नई नजदीकी एयरपोर्ट है। 	category=
163	neu	यहां से बस या ट्रेन के जरिए चिदंबरम पहुंचा जा सकता है।	category=
164	neu	चिदंबरम चेन्नई-तंजावुर मार्ग पर चेन्नई से 235 किमी दूर है। 	category=
165	neu	रेलवे स्टेशन भी चिदंबरम नाम से ही है।	category=
166	neu	ऑटो-रिक्शा, टैक्सी और बस के जरिए चेन्नई से 4 से 5 घंटे में चिदंबरम पहुंचा जा सकता है।      	category=
167	pos	भारत की आर्थिक राजधानी मुंबई फिल्मी हस्तियों और अपने उद्योगों के लिए विश्वभर में विख्यात है। 	category=
168	neu	गेटवे ऑफ इंडिया, होटल ताज, छत्रपति शिवाजी टर्मिनस, जुहू चौपाटी जैसी जगहें यहां आने वाले सैलानियों के लिए मुख्य आकर्षण का केंद्र रही हैं। 	category=
169	pos	एलिफेंटा की गुफाएं-मुंबई के समुद्र तट से करीब दस किलोमीटर दूरी पर स्थित एलिफेंटा की गुफाएं विश्वविख्यात हैं। 	category=
170	neu	एलिफेंटा की गुफाएं सात गुफाओं का सम्मिश्रण हैं जिनमें पांच हिंदू और दो बौद्ध गुफाएं हैं। 	category=
171	neu	गुफाओं में चट्टानों को काट कर पौराणिक देवताओं की अत्यन्त भव्य मूर्तियां बनाई गई है। 	category=
172	neu	इन मूर्तियों में त्रिमूर्ति शिव की मूर्ति सर्वाधिक लोकप्रिय है। 	category=
173	pos	इसके अलावा इन गुफाओं में शिल्पर कला के कक्षो में अर्धनारीश्वर, कल्यौण सुंदर शिव, अंधकारी मूर्ति और नटराज शिव की उल्लेखनीय छवियां दिखाई गई हैं। 	category=
174	pos	मुंबई के इस प्राचीनतम स्थल को विश्व धरोहर में शुमार किया गया है।	category=
