ID	Polarity	Text
23	pos	‘फिल्मिस्तान’ ने यह काम बहुत खूबसूरती के साथ किया था। 
24	con	अफसोस कि ‘वेलकम 2 कराची’ का विचार तो नेक, कटाक्ष और मजाक का था, लेकिन लेखक-निर्देशक की लापरवाही से फिल्म फूहड़ और कमजोर हो गई। 
25	neg	कई बार फिल्में पन्नों से पर्दे तक आने में बिगड़ जाती हैं।
26	neu	याद करें तो कभी इस फिल्मं में इरफान खान थे। 
27	neu	अभी जो भूमिका जैकी भगनानी ने निभाई है, उसी भूमिका को इरफान निभा रहे थे। 
28	neg	हिंदी फिल्म इंडस्ट्री के बेपरवाह रवैए की ओर भी यह फिल्म इंगित करती है। 
29	neu	हर फिल्म के निर्माण में पैसा, मेहनत और समय लगता है। 
30	neg	ऐसी कोशिशों में सब व्यर्थ हो जाता है।
31	neu	दो लूजर शम्मीर और केदार एक दुर्घटना की वजह से अनजाने ही कराची पहुंच जाते हैं। 
32	neu	उन्हें भारतीय जासूस व आतंकवादी समझा जाता है। 
33	neu	दोनों अलग-अलग किस्म के संगठनों के हाथों इस्तेमाल किए जाते हैं। 
34	neu	उनसे कुछ ऐसा हो जाता है कि उन्हें पाकिस्तान पहचान भी मिलती है। 
35	neu	गलतफहमी की इस निर्दोष यात्रा में हंसी के पल आते हैं। 
36	neg	दोनों किरदारों की टिपपणियों में कटाक्ष भी रहता है, लेकिन निर्देशक उसे बढ़ाते या गहराते नहीं हैं। 
37	neg	वे तुरंत किसी फूहड़ एवं हास्यास्पद स्थिति का सृजन कर जबरन हंसाने की कोशिश करते हैं। 
38	neg	फिल्म में मोड़ से अधिक मरोड़ हैं, जो एक समय के बाद तकलीफदेह हो जाते हैं।
39	con	अरशद वारसी अपनी काबिलियत से भी फिल्म को नहीं बचा पाते। 
40	neg	दरअसल, उन्हें एक कमजोर कलाकार के साथ नाथ दिया गया है, इसलिए कॉमेडी की गाड़ी ढंग से चल ही नहीं पाती। 
41	con	केदार को गुजराती लहजा देने का आइडिया अच्छा था, लेकिन कलाकार को भी मेहनत करनी चाहिए थी। 
42	pos	‘यंगिस्तान’ से जैकी भगनानी ने उम्मीए जगाई थी। 
43	neg	इस फिल्म से वह उम्मीद धुल गई। 
44	neg	अभिनेत्री और सहयोगी कलाकारों के लिए न तो पर्याप्त संवाद थे और न दृश्य। 
45	neu	सही सोच और कल्पना न हो तो वीएफएक्स बुरा हो जाता है। 
46	neg	‘वेलकम 2 कराची’ उसका भी नमूना है।  
47	neu	‘एक बार जो मैंने कमिटमेंट कर दी,फिर मैं अपने आप की भी नहीं सुनता’... पर्दे पर सलमान खान के बोले इस पॉपुलर संवाद को ‘तनु वेड्स मनु रिटर्न्स ’(तवेमरि) में मनोज शर्मा उर्फ मनु  अपने अंदाज में फेरबदल के साथ बोलते हैं तो पप्पू टोकता है कि तुम क्या सलमान खान हो? 
48	neu	सिनेमा और उनके स्टार और गाने हमारी जिंदगी में प्रवेश कर चुके हैं। 
49	pos	इस फिल्म को देखते हुए उत्तर भारत के दर्शक थोड़ा सा हंसेंगे, क्योंकि शब्दक,संवाद और मुहावरे उनकी रोजमर्रा जिंदगी के हैं। 
50	pos	शहरी दर्शकों का आनंद अलग होगा। 
51	pos	उन्हें हिंदी समाज का देसीपन हंसाएगा। 
52	neu	‘तवेमरि’ सीक्वल है। 
53	neu	पहली फिल्म ‘तनु वेड्स मनु’ की कहानी आगे बढ़ती है। 
54	neu	खूब जबरदस्त ड्रामा होता है। 
55	pos	मजेदार है कि फिल्मे खत्म होने तक सभी अविश्वसनीय प्रसंग उचित और तार्किक लगने लगते हैं। 
56	neu	आप दत्तो और दत्तोे के साथ मनु और राजा अवस्थीन के संयोगों पर यकीन करने लगते हैं। 
58	neu	पहले सहयोगी कलाकारों की बातें कर लें। 
59	pos	राजेन्द्र गुप्ता, केके रैना, दीप्ति मिश्रा, नवनी परिहार समेत छोटे बच्चों ने अपने किरदारों से कहानी में रंग भरे हैं। 
60	neu	किसी एक की कमी से कुछ खाली रह जाता। 
61	pos	फिर दीपक डोबरियाल, मो. जीशान अय्यूब, जिमी शेरगिल, एजाज खान, स्व्रा भास्कर सभी ने अपने एटीट्यूड से कहानी का ऐसा ताना-बाना कसा है कि फिल्म की बुनाई मजबूत और रंगीन हो गई है। 
62	neg	दीपक डोबरियाल एक-दो दृश्यों कुछ ओवर एक्टिंग करते नजर आते हैं। 
63	neu	बहकने का खतरा ज्यादा था, जिसे उन्होंने और निर्देशक ने संभाला है। 
64	pos	आर माधवन ने मनु के स्वभाव और स्वर को सही पकड़ा है। 
65	neu	मुश्किल और जटिल दृश्यों में भी वे अपने किरदार को एक्सरप्रेशन की आजादी नहीं देते। 
66	pos	सब कुछ ऐसा नपा-तुला और संयमित है कि मनोज शर्मा वास्तविक से लगने लगते हैं।
67	pos	उनके वनलाइनर तो मजेदार हैं।
68	neu	पुरानी कहानी के विस्तार में दत्तो के आगमन से नाटकीय मोड़ आता है। 
69	neu	लेखक-निर्देशक ने ‘तवेमरि’ की नाटकीय प्रेमकहानी में कुछ जरूरी सवालों को भी टच किया है। 
70	neu	पटकथा का हिस्सा बना दिया है। 
71	pos	दत्तो के किरदार में कंगना रनोट का आत्मसविश्वाास देखते ही बनता है। 
72	neu	कुछ किरदार ऐसे होते हैं कि उन्हें योग्य कलाकारों का समर्थन मिल जाए तो वे यादगार बन जाते हैं  दत्तों ऐसा ही किरदार है। 
73	pos	राज शेखर और कृष्णों की जोड़ी एक बार फिर निराले अंदाज में फिल्म की जरूरतें पूरी करती है। 
74	pos	इस समय सेम्युअल जैक्सन कुछ और भी अच्छा कर सकते हैं। 
75	neg	कारण कि अब वो जो करते हैं वो बोरिंग सा लगता है। 
76	pos	वे जानते हैं कि दर्शकों को क्या पसंद है। 
77	neu	हालांकि पूरी फिल्म के दौरान आप इस बात से ऊपर नहीं सोच पाते कि फिल्म विश्वास से परे है। 
78	neg	प्लॉट बहुत ही बकवास है। 
79	neu	जैक्सन कई मौकों पर अपनी ही कुछ चर्चित लाइन्स दोहराते नजर आते हैं। 
80	neu	विलेन का किरदार भी पुरानी फिल्मों से बहुत ही ज्यादा मिलता-जुलता है। 
81	neu	बच्चे की यह लाइन कि हमें तो मजबूत होना ही पड़ता है। 
82	pos	इन बातों के बाद भी कलाकारों का काम ठीक-ठाक है। 
83	pos	अमेरिकन एक्सेंट में बात करते ब्रिटिश एक्टर को देखना सुखद है। 
84	pos	जैक्सन हमेशा की तरह मनोरंजन करते दिखते हैं।       
85	neu	आपने कितनी ही बार डिजाजस्टर मूवी देखी होगी। 
86	neu	बावजूद इसके ऐसी फिल्में लगातार बनती रहती हैं। 
87	neu	हालिया रिलीज फिल्म 'सैन एंड्रियास' भी ऐसी ही एक फिल्म है। 
88	neu	इसमें जो कुछ भी है वो आप पहले भी कई बार देख चुके हैं। 
89	neg	बावजूद इसके यह फिल्म बहुत लंबी लगने लगती है। 
90	neg	दर्शक बैठे-बैठे ही थक जाए। 
91	neu	इसमें जितनी भी बिल्डिंग गिराई गई है ऐसा लगता है कि वो देखकर ही आप थक गए।
92	neu	कुछ मौकों पर पिता और बेटी के रिश्तों को दर्शाने की बात भी की गई है। 
93	neu	बाकी का काम एलेक्जेंड्रा डड्डारियो के लुक पर छोड़ दिया है। 
94	neg	मगर यह भी नाकाफी ही लगता है।
95	pos	फिल्म में विजुअल इफेक्ट्स अच्छे हैं। 
96	pos	कुछ हिस्से अच्छे भी है। 
97	neg	मगर इससे बात बनती नहीं है। 
98	neg	कारण कि कुल मिलाकर फिल्म आपको निराश करती है।  
99	neu	टुमारोलैंड का निर्देशन किया है ब्रेड बर्ड ने। 
100	neu	फिल्म को लिखा है लिंडलोफ ने। 
101	neu	जब इस बात की घोषणा पहली बार की गई थी तो दर्शकों को बताया गया कि यह फिल्म एक वैज्ञानिक पर आधारित है। 
102	neg	दो साल बाद जब फिल्म रिलीज हुई तो थोड़ी निराशाजनक रही। 
103	pos	कारण कि फिल्म को लेकर उम्मीदें बहुत थी। 
104	con	यह बिलकुल ऐसा था कि मिस्ट्री बॉक्स खुला और उसमें से कुछ भी नहीं निकला।
105	neu	यदि आपको लगता है कि यह कुछ ठीक है तो आप अकेले नहीं है। 
106	neu	ब्रेड बर्ड फिल्म होने के बावजूद टुमारोलैंड अपने आपको डिज्नी मूवी होने से रोकती प्रतीत होती है। 
107	pos	फिल्म अच्छी दिखती है। 
108	neu	डिज्नी अपनी फिल्म टूडी में प्रेजेंट करता है बजाए थ्रीडी के। 
109	neu	यह भी एक सीक्वेंस ही है। 
110	pos	बर्ड के डायरेक्शन में परफेक्शन है इस बात में कोई संदेह नहीं है। 
111	pos	मिस्ट्री और मनोरंजन का अहसास इस बात को मजबूती देता है। 
112	pos	यही कारण है कि फिल्म में आप बोर नहीं होते हैं।   
113	pos	इस बात के लिए जेम्स वेन को धन्यवाद दिया जाना चाहिए कि उन्होंने हॉरर फिल्मों के जोनर को ऐसा फार्म बना दिया है जो आपको नुकसान नहीं पहुंचाता। 
114	pos	स्ट्रेटजी भी सिंपल होती है। 
115	pos	इस रीमेक की खास बात यही है कि यह मूल फिल्म से बहुत दूर है। 
116	pos	बावजूद इसके फिल्म के कुछ दृश्य ऐसे हैं जो दर्शकों का मनोरंजन करते दिखाई देते हैं। 
117	pos	साथ ही इसमें ऐसी भी कोई बात नहीं है जो आपको लगे कि आप पहले भी देख चुके हैं। 
118	neg	हां मगर इतना जरूर है कि जिन लोगों ने पहले की फिल्में देखी हैं वे इस फिल्म में डरने के लिए इंतजार करते दिखाई देते हैं।    
119	pos	सुरखाब उन फिल्मों में शुमार है जिन्हें छोटा बजट होने के बावजूद आप अच्छी फिल्मों में शामिल कर सकते हैं। 
120	pos	कारण कि सही मुद्दों को सही तरीके से डील किया गया है। 
121	pos	बाद में बॉक्स ऑफिस पर अच्छा प्रदर्शन करने के लिए इसे सुरक्षित सांचे में ढ़ालने की कोशिश की गई है।
122	neu	फिल्म बहुत ही गंभीरता के साथ शुरू होती है।
123	neg	कहानी कमजोर पड़ जाती है।
124	neg	साथ ही निराशानजक भी है कारण कुछ बातें अविश्वसनीय सी लगती है। 
125	neg	इस पूरे मसले में अवैधानिक तौर पर रहना और जाने का मसला कहीं खोकर रह जाता है।
126	pos	बावजूद इसके स्टार कास्ट ने अपने स्तर पर अच्छा काम किया है। 
127	neu	मगर फिल्म और भी अच्छी बन सकती थी। 
128	neu	आमतौर पर किसी भी सीक्वल के आने में तीन सालों का इंतजार लंबा समय होता है। 
129	pos	उन्होंने ब्लॉकबस्टर फिल्म के स्टैंडर्ड का ध्यान रखा है। 
130	neu	यहां जिस हिसाब से फिल्म बनती हैं से लेकर दर्शक इन फिल्मों को कैसे लेते हैं इसका भी ध्यान रखा गया है।
131	neu	वैसे दो एवेंजर्स फिल्मों के बीच हर साल दो मार्वल फिल्म्स दर्शकों के बीच होती हैं। 
132	neu	इसलिए ये इंतजार कभी इतना ज्यादा भी नहीं लगता। 
133	neu	दूसरा जब कभी भी सीक्वल बनता है तो एक चुनौती उनके बीच तालमेल बैठाने की भी होती है। 
134	neu	ये सभी बातें 'एवेंजर्स : एज ऑफ अल्ट्रॉन' में देखने को मिलती है।
135	pos	एवरेज एंजॉय के लिए एज ऑफ अल्ट्रॉन को पता है कि लोग क्या चाहते हैं। 
136	pos	दमदार एक्शन, सुपरहीरोज की कलाकारी और तो और रोमांटिक ट्रेक भी। 
137	pos	इस बार इस फिल्म में किसी भी तरह का समय खराब नहीं किया गया है। 
138	neu	पहले सीन में ही एवेंजर्स का ग्रुप बुरे लोगों से लोहा लेते नज़र आया है। 
139	pos	ये एक बड़ा एक्शन पीस है।
140	pos	ये हिस्सा एकदम सांस रोक देने वाला है। 
141	neu	इसके बाद जो होता है वो बहुत ही साधारण है।
142	pos	ये बाकी सभी एवेंजर्स से मजबूत भी बताया गया है। 
143	pos	इसके अलावा फिल्म में कुछ शानदार लोकेशंस है और बुरे लोगों को पीटते हमारे सुपरहीरोज है जो आपको मजा देते हैं।
144	neu	जब बात एंटरटेनमेंट वेल्यू की होती है तो डायरेक्टर जोस व्हीडन इस मामले में आधा प्रयास नहीं करते हैं। 
145	pos	एक्शन कमाल का है।
146	pos	हल्क और आयरनमैन के बीच की टसल कमाल की है। 
147	pos	मार्वल फैंस के लिए ये एक शानदार ट्रीट है। 
148	neu	थॉर और कैप्टन कुछ मूव्स साथ करते भी दिखाई देंगे। 
149	neu	इस बार हॉक आई को भी बड़ा हिस्सा मिला है। 
150	pos	ये सबकुछ आपको ऐसा महसूस कराता है मानो आप अपनी फेवरेट कॉमिक्स पढ़ रहे हों।
151	neu	हालांकि इस फिल्म में पिछली फिल्म जैसा कुछ नहीं है। 
152	neu	इस फिल्म में हमें पता होता है कि हीरो की जीत होने वाली है और विलेन हारने वाला है। 
153	neu	इसलिए आपको ये होने का इंतजार भर करना पड़ता है। 
154	neu	कहानी में लड़ाईयां है मगर ये विलेन अल्ट्रॉन को मार्वल फिल्म का कमजोर विलेन ही साबित करती है। 
155	pos	जेम्स स्पाडर की आवाज अच्छी है। 
156	neu	मगर इसमें इस किरदार के बारे में किसी तरह की कोई बात नहीं की गई है। 
157	pos	हालांकि विजन खूबसूरत है जो बताता है कि भविष्य की फिल्म में ये और भी बड़ा होगा।
158	neu	इस फिल्म को थ्री डी में देखने के लिए तो बिलकुल ना है। 
159	neu	कारण कि उड़ना, लात मारना, बिल्डिंग पर चढ़ना, मुक्के मारना आदि सीन को देखकर लगेगा कि हो क्या रहा है। 
160	neu	इसलिए इस फिल्म का मजा लेने के लिए टूडी एक बेहतर विकल्प है।
161	neu	शोनाली बोस की निजी जिंदगी संबंधों और भावनाओं की उथल-पुथल से कांपती रही है। 
162	neu	इधर कुछ उनसे बिछुड़े और कुछ अलग हो गए। बड़े बेटे ईशान को आकस्मिक तरीके से खोने के बाद वह खुद के अंतस में उतरीं। 
163	neu	वहां सहेज कर रखे संबंधों को फिर से झाड़ा-पोंछा। 
164	neu	उन्हें अपनी रिश्ते की बहन मालिनी और खुद की कहानी कहनी थी। 
165	pos	इस फिल्म में शोनाली की मौजूदगी सोच और समझदारी के स्तर पर है। 
166	neu	उन्होंने लैला के बहाने संबंधों और भावनाओं की परतदार कहानी रची है। 
167	neu	सेरेब्रल पालसी में मनुष्य के अंगो के परिचालन में दिक्कतें होती हैं। 
168	neu	दिमागी तौर पर वे आम इंसान की तरह होते हैं। 
169	neu	समस्या यह है कि हमारा समाज उन्हें मरीज और बोझ मानता है। 
170	neu	उनकी सामान्य चाहतों पर भी सवाल करता है।
171	pos	हर किरदार के साथ कहानी एक नया मोड़ लेती है और रिश्तों का नया आयाम दिखा जाती है। 
172	pos	'मार्गरिटा विद ए स्ट्रॉ' सही मायने में रोचक और रोमांचक फिल्म है। 
173	neu	भरपूर इमोशनल थ्रिल है इसमें।
174	neu	शोनाली बोस को कल्कि कोइचलिन का पूरा सहयोग मिला है। 
175	neu	उन्होंने लैला को आत्मसात कर लिया है। 
176	pos	हाव-भाव और अभिव्यक्ति में वह कोई कसर नहीं रहने देतीं। 
177	pos	कल्कि ने इस किरदार को आंतरिक रूप से पर्दे पर जीवंत किया है। 
178	pos	सेरेब्रल पालसी की वजह से किरदार की गतिविधियों में आने वाली स्वाभाविक भंगिमाओं को जज्ब करने के साथ ही उन्होंने उसकी मानसिक क्षमताओं को भी सुंदर तरीके से जाहिर किया है। 
179	neu	उन्हें सयानी गुप्ता और रेवती का बराबर साथ मिला है। 
180	pos	रेवती ने मां की ममता और भावना के बीच सुंदर संतुलन बिठाया है। 
181	neu	बेटी के लिए चिंतित होने पर भी वह नई चीजों को लेकर असहज नहीं होतीं और न हाय-तौबा मचाती हैं। 
182	neu	ऐसे किरदार को पर्दे पर उतारना सहज नहीं होता।
183	neu	'मार्गरिटा विद ए स्ट्रॉ' माता-पिता और बेटी-बेटों के साथ देखी जाने वाली फिल्म है। 
184	neu	हां, उनका व्यस्क होना जरूरी है। 
185	neu	भारतीय समाज में अभी समलैंगिकता की सही समझ विकसित नहीं हुई है। 
186	neu	इसे या तो रोग या फिर जोक माना जाता है। 
187	neu	हिंदी फिल्मों में समलैंगिक किरदार हास्यास्पद होते हैं। 
188	neu	लैला के जरिए शोनाली बोस एक साथ अनेक सामाजिक ग्रंथियों को छूती हैं। 
189	neu	वह कहीं भी समझाने और सुधारने की मुद्रा में नहीं दिखतीं। 
190	neu	विक्रम भट्ट निर्देशित इमरान हाशमी की 'मिस्टर एक्स' 3डी फिल्म है। 
191	pos	साथ ही एक नयापन है कि फिल्म का नायक अदृश्य हो जाता है। 
192	neu	विक्रम भट्ट 3डी तकनीक में दक्ष हैं। 
193	neg	वे अपनी फिल्में 3डी कैमरे से शूट भी करते हैं, लेकिन इस तकनीकी कुशलता के बावजूद उनकी 'मिस्टर एक्स' में कथ्य और निर्वाह की कोई नवीनता नहीं दिखती। 
194	neg	फिल्म पुराने ढर्रे पर चलती है।
195	neu	दर्शक इस फिल्म की पूरी कहानी का अनुमान लगा सकते हैं। 
196	neu	सब कुछ प्रेडिक्टेबल और सरल है। महेश भट्ट और विशेष फिल्म्स की फिल्मों का एक पैटर्न बन चुका है। 
197	neu	कभी कढ़ाई सुघड़ हो जाती है तो दर्शक फिल्म पसंद कर लेते हैं। 
198	neg	'मिस्टर एक्स' से ऐसी उम्मीद नहीं की जा सकती। 
199	neg	इमरान हाशमी का जादू बेअसर हो चुका है।
200	neg	फिल्म में उनका किरदार ढंग से लिखा भी नहीं गया है। 
201	neg	सिया की भूमिका में अमायरा दस्तूर कमजोर हैं,जबकि उन्हें कुछ अच्छे दृश्य मिले हैं। 
202	neg	अरूणोदय सिंह अपनी मौजूदगी से प्रभावित नहीं काते। 
203	neu	उन्हें अभी तक अभ्यास की जरूरत है। 
204	pos	तिवारी की छोटी भूमिका में आया कलाकार अपनी बेवकूफियों में अच्छा लगता है।
205	neu	भट्ट कैंप की फिल्मों का संगीत कर्णप्रिय होने की वजह से लोकप्रिय होता है। 
206	neg	इस बार वह मधुरता नहीं है। 
207	neg	पॉपुला सिंगर अंकित तिवारी भी निराश करते हैं। 
208	neu	और हां, इस फिल्म में हर किरदार भारद्वाज को भरद्वाज क्यों बुलाता है? उ'चारण की और भी गलतियां हैं। 
209	neu	फिल्म में भट्ट साहब ने शीर्षक गीत में आवाज दी है। बेहतर होगा कि वे ऐसे चमत्कारिक दबावों से बचें। 
210	neg	कृष्ण, गीता और रघु व सिया के प्रतीकात्मक नाम...सब फिजूल रहा।
211	neu	फिल्म इंडस्ट्री में कोर्टरुम के अनेक वर्जन दिखाए गए हैं। 
212	neu	जहां एक डिफेंस लॉयर है तो एक प्रोसिक्यूशन लॉयर और साथ में हैं 'मायलॉर्ड्स'। 
213	neu	इस तरह से यह सीन पूरा होता है। 
214	neu	मगर इस मराठी-हिन्दी-गुजराती और अंग्रेजी फिल्म में यही बात एक अलग ढंग से सामने आती है।
215	pos	इस फिल्म की सबसे खास बात यही है कि मल्टिपल अवॉर्ड जीतने के बाद भी यह फिल्म बेहद साधारण होकर असाधारण बन पड़ी है। 
216	neu	जब आप फिल्म देखने बैठते है तो धीरे-धीरे इससे बंधते चले जाते हैं और आगे जाकर आपको समझ आता है कि देश की न्याय व्यवस्था में कैसे पेंच हैं।
217	neu	डेब्यूटेंट डायरेक्टर चेतन्य ताम्हणे ने इसके साथ ही यह भी बताया है कि हर दिन कोर्टरुम में किस तरह की जद्दोजहद होती है। 
218	neu	एक व्यक्ति को न्यायिक प्रक्रिया से कैसे जूझना पड़ता है। 
219	neu	फिल्म में नूतन और जज सदावर्ते के मिडिल क्लास जीवन को भी दिखाया गया है, जो अपनी सीमित सोच के बूते इस मामले पर चर्चा भी करते हैं।
220	pos	आत्मविश्वास से भरे डायरेक्शन में दिल को छूती हुई एक मजबूत कहानी है फिल्म 'कोर्टरुम' की। 
221	pos	गीतांजलि की परफॉर्मेंस बहुत अच्छी है। 
222	pos	बाकी कलाकारों ने भी अच्छा सहयोग किया है। 
223	pos	हालांकि गोंबर को गुजराती एसेंट में कुछ परेशानी हुई मगर फिर भी अपने किरदार में बने रहने का उनका प्रयास अच्छा था।
224	neu	यह वास्तविक फिल्म है जो आपको जरूर महसूस होगी। 
225	pos	दर्शकों को ऐसी फिल्में देखने की जरूरत है। 
226	neu	आप यह कैसे तय करते हैं कि एक अच्छी हॉरर फिल्म कैसी होगी? जिसमें अजीबोगरीब चेहरों के बजाए अच्छे से दर्शाए गए कैरेक्टर हों और जो अच्छी एक्टिंग भी करे। 
227	pos	फिल्म का प्लॉट ऐसा हो जो शुरू से लेकर अंत तक आपको बांधे रखे। 
228	pos	यह वो फिल्म है जिसकी चर्चा फेस्टिवल के समय जोरों पर थी।
229	pos	फिल्म में एक्सीक्यूशन का ही महत्व होता है। 
230	pos	इसलिए यह फिल्म एक बेहतरीन हॉरर फिल्म है। 
231	neu	डायरेक्टर ने कैमरे का इस्तेमाल ही इस ढंग से किया है कि फिल्म में होने वाली हर तरह की घटना आप महसूस करते हैं। 
232	pos	बालों का हवा में उड़ना हो या फिर धीरे से बढ़ती हुई खामोशी यह सारी वो बातें हैं जो आपको डर को महसूस कराने में कारगर साबित होती है।
233	neu	इसका बहुत सारा श्रेय तो इस बात को जाता है कि किरदारों का परिचय किस तरह से कराया गया है। 
234	neu	मसलन एक किरदार है जो 80 के दशक का लगता है।
235	neu	दूसरा जो है वो 90 के दशक का लगता है। 
236	neu	तीसरा जो है वो इसके आगे के दशक का लगता है। 
237	pos	यह वो बातें हैं जो फिल्म को रोचक बनाने के साथ ही मजेदार बनाती है।  
238	neu	वैसे इस बात के अनेक उदाहरण हमारे सामने हैं कि कितना कठिन है बॉलीवुड से हॉलीवुड की ओर जाना। 
239	pos	शेखर कपूर ही एक अपवाद रहे हैं जिन्होंने हॉलीवुड फिल्म 'एलिजाबेथ' बनाई और इसे सराहना भी मिली। 
240	neu	उनके अलावा कोई भी इस रेखा को पार नहीं कर पाया है। 
241	neu	'ब्रोकन हॉसेस' के माध्यम से फिल्ममेकर विधु विनोद चोपड़ा ने एक बोल्ड अटैंप्ट लिया था मगर दुर्भाग्यवश यह फेल होता दिखाई देता है।
242	neu	ब्रोकन हॉर्सेस वर्ष 1989 में आई क्लासिक फिल्म 'परिंदा' की रीमेक है। 
243	neu	इसे चोपड़ा ने अपने साथी अभिजीत जोशी के साथ हॉलीवुड की पृष्ठभूमि पर फिर से लिखा है। 
244	neu	यह फिल्म नए मैक्सिको की पृष्ठभूमि पर आधारित है। 
245	con	मूल फिल्म में कुछ बातें जो बहुत ही अच्छी थी उन्हें इस फिल्म में अपडेट नहीं किया गया। 
246	neg	इसका नतीजा यह है कि जब आप फिल्म देखते हैं तो आपको लगता है कि इसमें बड़ा लॉजिकल गैप है।
247	neg	फिल्म की धीमी गति इसमें किसी तरह की मदद नहीं करती बल्कि और कमियों को उजागर कर देती है। 
248	neu	फिल्म में कई पहलूओं को उठाने की बात हुई मगर बाद में उसे छोड़ दिया गया। 
249	neg	जूलियस का किरदार भी फिल्म में सही तरीके से बाहर नहीं लाया गया।
250	neu	मसलन आप फिल्म में अंत तक नहीं जान पाएंगे कि आखिर जैकब और उसके पिता को गोली मारी किसने थी। 
251	neu	जूलियस के मन में बडी को लेकर ऐसी भावना क्यों थी। 
252	neu	वो उन्हें गैंग क्यों नहीं छोड़ने देना चाहता। 
253	neu	कुछ भी अंत में निकलकर सामने नहीं आता।
254	neu	यदि आप 'परिंदा' के फैन हो तो आपके दिल को थोड़ी निराशा हो सकती हैं।  
255	neu	टिम जॉनसन ने फिल्म 'होम' का निर्देशन किया है। 
256	pos	होम की कहानी बहुत ही रोचक है।
257	pos	ड्रीमवर्क्स की एनिमेटेड फिल्मों में सेलीब्रेटिज की आवाज होना ही इन फिल्मों की पहचान होती है। 
258	neu	इस बार भी ऐसा ही हुआ है। 
259	neu	रिहाना, जेनिफर लोपेज, स्टीव मार्टिन और जिम पार्सन जैसे सेलेब्स ने अपनी आवाज दी है।
260	pos	पार्सन ने अपनी आवाज लीड रोल को दी है जो कि एकदम फीट बैठी है। 
261	neu	फिल्म में पॉप सांग्स के साथ कई जोक्स भी है। 
262	neu	एनिमेशन अपने आप में ही खूबसूरत होता है अगर वो 3डी में न हो। 
263	pos	फिल्म में एक शानदार सीक्वेंस है जहां टीप और ओह भाग रहे हैं और एफिल टॉवर कोलेप्स हो रहा है।
264	pos	फिल्म का अंत सरप्राइज करते हुए प्रभावी बन पड़ा है। 
265	neu	फिल्म फ्रेंडशिप और लव का मैसेज देती है। 
266	pos	ओवरऑल यह एक प्यारी फिल्म है जो कि विशेष रूप से बच्चों के लिए बनी है। 
267	neu	यहां भी धर्म और धार्मिकता के पहलू को एक अलग नजरिए से उठाया गया है। 
268	neu	फिल्म के नायक या मुख्य अभिनेता परेश रावल हैं। 
269	neu	'धर्म संकट में' ब्रिटिश कॉमेडी फिल्म 'द इनफिडेल' से स्पष्ट रूप से प्रेरित है। 
270	pos	और उन्होंने धर्मपाल के किरदार को अच्छी तरह निभाया है। 
271	neu	निर्देशक फुवाद खान ने भारतीय संदर्भ में यहूदी और मुसलमान चरित्रों की मूल कहानी को हिंदी और मुसलमान चरित्रों में बदल दिया है। 
