Id	Polarity	Review
~38	neg	वैसे हमने जब इसे यूज किया, तब हम इसमें अपनी 1080पी 40एमबीपीएस एमकेवी सैंपल क्लिप नहीं प्ले करवा पाए। हालांकि बाकी फाइल फॉर्मेट्स को सिस्टम सपोर्ट कर रहा था। 
39	pos	इसका इन-बिल्ट स्पीकर अच्छा है और साउंड क्वॉलिटी में औसत से बेहतर है। 
40	neg	बता दें कि इसका हैडसेट सुविधाजनक नहीं लगता हालांकि फोन कॉल सुनने में तो इसका इस्तेमाल कर ही सकते हैं। 
41	neu	कॉल क्वॉलिटी संतोषजनक है और इसमें हमें कोई शिकायत नहीं लगी। 
42	neu	बैटरी की बात करें तो हमने इसे विडियो लूप टेस्ट पर डाला और यह 7 घंटे 26 मिनट तक चला।
43	pos	हमारे मुताबिक इसका कैमरा एकदम बढ़िया निकला! इससे ली गई तस्वीरों की इमेजेस बेहतरीन थीं। 13 मेगापिक्सल का रीयर कैमरा है जबकि फ्रंट कैमरा 5 मेगापिक्सल का है। 
44	pos	हमने जो क्लोज अप तस्वीरें लीं, वे जबरदस्त निकलीं और दिन की रोशनी में ली गई तस्वीरें इतनी शार्प थीं कि फोकस पॉइंट पर यदि आप किसी डेस्कटॉप से 100 परसेंट जूम भी करके भी देखें तो वे लाजवाब लगेंगी। हालांकि फोन ने ऑटो फोकस होने में कुछ ज्यादा ही वक्त लिया।
45	pos	जहां कम लाइट थी, वहां यूरेका को दिक्कत आई। क्लोज अप के मुकाबले चौड़े फ्रैम्स बेहतर रहे। फ्लैश ने ऐसे मौकों पर ठीकठाक काम किया। विडियो कुछ ज्यादा ही अस्थिर थे लेकिन बाकी सब वैसा ही अच्छा रहा जैसे कि फोटोज के मामले में।
46	pos	इस फोन के मामले में साइनोजन ऑपरेटिंग सिस्टम 11 का होना एक बड़ा प्लस पॉइंट है। 
47	neu	वैसे यूरेका की छोटी बड़ी कमियों के आराम से नजरअंदाज किया जा सकता है। क्योंकि, कंपनी काफी कम कीमत में जो कुछ दे रही है, वह थोड़े में ज्यादा देने वाली बात को साबित करता है। 
48	pos	सबसे अच्छी बात इस फोन के संदर्भ यह रहेगी कि रेडमी नोट का 4जी वर्जन इससे 1 हजार रुपए महंगा है, और इसका 4जी होते हुए अपेक्षाकृत सस्ता होने की वजह से लोग इसकी ओर मुढ़ेंगे।
================================================================
49	pos	यह फैबलेट कागजी आंकड़ों पर डुअल कोर 14 जीएचजेड प्रोसेसर, 5 इंच की स्क्रीन और 5 मेगापिक्सल के कैमरे सहित बहुत आशाजनक लगता है।
50	pos	खासियत: शानदार परफार्मेंस, बहुत अच्छी बैटरी लाइफ, पकड़ने में अच्छा
51	neg	कमियां: खराब कैमरा क्वालिटी, फोन भारी है, प्रतिस्पर्धियों के मुकाबले थोड़ा सा महंगा
~51		स्पाइस स्टेलर होराइजोन (Spice Stellar Horizon) किसी भी भारतीय ब्रांड द्वारा घोषणा की गई पहली फैबलेट है। हालांकि, जब तक स्पाइस (Spice) इसे भारतीय बाजार में लांच करेगा, तब तक बहुत से भारतीय ब्रांड अपनी 5 इंच स्क्रीन आधारित स्मार्टफोन जिनकी इसी के जैसी स्पेसिफिकेशन और कीमत होगी उतार चुके होंगे।
52	pos	स्पाइस स्टेलर होराइजोन (Spice Stellar Horizon) में बहुत अच्छी स्पेसिफिकेशन्स हैं जैसे 5 इंच का डिसप्ले जिसका 800x480 पिक्सल रिजॉल्यूशन में, 5 मेगापिक्सल का रियर कैमरा फ्लैश सहित, फ्रंट कैमरा, 1Ghz डुअल कोर प्रोसेसर आधारित मीडियाटैक (Mediatek) चिपसेट, 512 MB RAM और 2400 mAh बैटरी। इसके अतिरिक्त, इसकी दाम 12,499 रुपये है जो अन्य भारतीय ब्रांडों के जिनके इसी तरह के फोन की कीमत 9,999 रुपये से शुरू है, के मद्देनजर कुछ अधिक लगती है।
53	neu	हालांकि, इसकी स्पेसिफिकेशन्स कागजों पर तो बहुत बेहतरीन लगती हैं, चलिए जांचते हैं की असलियत में इसका प्रदर्शन कैसा है।
54	pos	सोनी की एक और अच्छी रचना जो कि मात्र देखने योग्य ही नहीं है। ##वास्तव में यह कैसा काम करती है यह जानने के लिए पढ़ें।##
55	pos	खासियत: चमकदार और साफ एलसीडी डिसप्ले, बैटरी, कैमरा, साउंड आउटपुट
56	neg	कमियां: अव्यवस्थित यूनीबॉडी, बढ़ने योग्य मेमोरी का अभाव
57	pos	सोनी के एरिक्सन से रास्ता जुदा करने के बाद से एक्सपेरिया पी, सोनी द्वारा बनाया गया दूसरा हैंडसेट है। अतः यह बहुत सारी आशाओं के साथ आया है। भारत में ऊंचे दर्जें का यह स्मार्टफोन इसी साल मई में लगभग 27,000 रुपये में लांच किया गया था जबकि इस समय यह हैंडसेट लगभग 23-24 हजार का बिक रहा है जो इसे लाभप्रद हैंडसेट बनाता है।
58	neu	इस स्मार्टफोन की डिजाइन इसी कंपनी के एक्सपेरिया एस एवं एक्सपेरिया यू जैसी ही है। इसमें भी ऊंचे दर्जें के फीचर लगे हैं। हम पहले ही एस्पेरिया एस की समीक्षा कर चुके है। अब हम सोनी एक्सपेरिया पी के परफार्मेंस पर एक नजर डालते है।

59	neu	कार्बन केटी21(Karbonn KT21) एक टच एवं टाइप फीचर फोन है जो पुश मेल जैसे स्मार्टफोन फीचर के साथ अच्छे मल्टीमीडिया फीचर्स का वादा करता है। देखते हैं कि यह कितना अच्छा देता है?
60	pos	खासियत: अच्छी बैटरी लाइफ, एप्पलीकेशन का बेहतरीन संग्रह, बेहतरीन टच स्क्रीन
61	neg	कमियां: गेमिंग स्वीकार करने योग्य नहीं, कैमरा भी अच्छा नहीं, पॉवर बटन का स्थान त्रुटिपूर्ण है
62	neu	##कार्बन (Karbonn) ने हाल ही में एक नये उप ब्रांड स्मार्ट डिवाइसों की बिक्री की घोषणा की, जिनके अनुसार स्मार्टफोन एवं टैबलेटों के अलावा महंगे फीचर फोन भी शामिल हैं।##
63	pos	इन सब ब्रांड से बाहर आने वालों में से कार्बन केटी21 (Karbonn KT21) पहला फीचर फोन है। फोन में अच्छा मल्टीमिडिया, पुश मेल (push mail) सेवा दोहरे मेमोरी कार्ड स्लॉट तथा 2.8 इंची कैपेसिटिव टच स्क्रीन के साथ-साथ फीचर्स का पूरा जखीरा लगा है।

64	pos	खासियत: डिसप्ले, अच्छा बैकअप, सहज इंटरफेस
65	neg	कमियां: कैमरा, फ्लैश

66	neu	सीडीएमए सेवा प्रदाता एमटीएस (MTS) ने अभी हाल ही में एंड्रॉयड ऑपरेटिंग सिस्टम (Android operating system) आधारित 4 इंची स्मार्टफोन एमटीएस एम टैग 401 (MTS MTag 401) लांच किया था। फोन की कीमत 8,999 रुपये है जो इसे खरीदेगा उसे तीन महीने के लिए मुफ्त में असीमित डेटा उपयोग तथा असीमित एमटीएस से एमटीएस कॉल की सुविधा मिलेगी।
67	neu	एमटीएस (MTS) ने स्मार्टफोन के साथ टीवी एप्लीकेशन बंडल्ड की है जिसके कारण यूजर 100 से अधिक चैनल के साथ लाइव टीवी देख कता है। एमटैग 401 (MTag 401) एमटीएस का चौथा एंड्रॉयड (Android) फोन है, पहला पुराना हो रहा एमटीएस (MTS)(एचटीसी) पल्स, दूसरा सस्ता सा एमटीएस (MTS) एमटैग 3.1 तथा तीसरा प्रवेश स्तर का एमटीएस लाइव-वॉयर (MTS Livewire), यह नया वाला इस सीरीज में जोड़ना बहुत जरूरी था क्योंकि अब पल्स बहुत पुराना हो चुका है अतः आकर्षक विकल्प नहीं है जबकि अन्य दो बहुत सस्ते विकल्प हैं। इसके बारे में और जानने के लिए पढ़े। 


68	pos	एक्सपेरिया सोला वास्तव में सोनी के एएक्सटी सीरीज स्मार्टफोन्स का हिस्सा नहीं है लेकिन इसमें वैसा ही लुक और फील दिया गया है। एक्सपेरिया सोला एंड्रॉयड स्मार्टफोन कीमत के लिहाज से रोमांचकारी और खास बात यह है कि इसमें फ्लोटिंग टच स्क्रीन डिसप्ले दिया गया है।

69	pos	नोकिया 808 प्योरव्यू एक ऐसा कैमरा फोन है जिसमें है विस्मयकारी फोटो देने की क्षमता, लंबी बैटरी लाइफ और शानदार ऑडियो प्लेबैक के साथ रिकार्डिंग का अनुभव।
70	pos	खासियत: शानदार कैमरा क्वालिटी और विडियो रिकार्डिंग, साउंड और ऑडियो रिकार्डिंग क्वालिटी से भरपूर, लंबी बैटरी लाइफ
71	neg	कमियां: कम-रेजोल्यूशन डिसप्ले, महंगा, रतिस्पर्धियों की तुलना में धीमा OS
72	pos	नोकिया (Nokia) ने अंततः अपनी फ्लैगशिप डिवाइस पेश कर दी- 808 प्योरव्यू( 808 PureView) जिसके साथ है इमेजिंग टेक्नोलॉजी। सिम्बियन (Symbian) प्लेटफॉर्म के भक्त और फोटोग्राफी के शौकीन इस हैंडसेट की तब से प्रतिक्षा कर रहे थे जब से पिछले वर्ष इसके बारे में संकेत मिले थे। नोकिया 808 प्योरव्यू (Nokia 808 PureView) कैमरा प्रधान नोकिया एन 8 (Nokia N8) का सच्चा उत्तराधिकारी है और यह इस से एक लंबी छलांग भी है। नोकिया एन8 (Nokia N8) 2010 में लांच होने के बाद से अपने 12 मेगापिक्सल के इमेजिंग सेंसर के बल पर कैमरा फोन सेगमेंट पर राज कर रहा है।
73	pos	शायद ही कभी कोई हैंडसेट निर्माता अपनी पुरानी डिवाइसों को भंग किए बिना सफलता को दोहरा पाता है। नोकिया (Nokia) की विंडोज फोन डिवाइसों को स्मार्टफोन कैटेगरी में समायोजित करने की बदली हुई रणनीति के चलते सिम्बियन (Symbian) प्लेटफॉर्म आधारित डिवाइसों का भविष्य बहुत उज्जवल नहीं लग रहा। हालांकि महत्वपूर्ण अपडेट्स पेश करने की घोषणा के साथ ही नोकिया (Nokia) ने सिम्बियन (Symbian) प्लेटफॉर्म को कम से कम 2016 तक सपोर्ट करने का वादा किया है।
74	neu	नोकिया 808 प्योरव्यू (Nokia 808 PureView) में पीछे की ओर लगा 41 मेगापिक्सल का विशाल इमेज सेंसर साफ दिखाई देता है। 41 मेगापिक्सल के इमेज सेंसर के अतिरिक्त नोकिया (Nokia) इमेजिंग इंजिनियर्स ने ऑप्टिक्स और फ्लैश पर भी पूरा ध्यान दिया है। अब इसका परिणाम हम सब के सामने है।
75	neg	क्वॉड-कोर स्मार्टफोन्स और वॉयस-केंद्रित डिजिटल असिस्टेंट्स के मुख्यधारा में आने से नोकिया 808 प्योरव्यू ( Nokia 808 PureView) इनके नजदीक भी नहीं है। अगर आप स्पेसिफिकेशन लफ्फाजी में न आयें तो इसमें दो कमियां हैं जिन पर पहले से ही ध्यान देना चाहिए- सिम्बियन^3 (Symbian^3) आधारित बेले (Belle) मोबाइल ओएस (OS) और मोटाई के साथ भारी होना। दूसरा कारण अधिक महत्वपूर्ण है क्यूंकि बहुत से निर्माता इसी तरह के हार्डवेयर्स के साथ पतला और हल्का हैंडसेट पेश कर रहे हैं। 
76	pos	खासियत: स्क्रीन की टच और इमेज क्वालिटी, बटेरी डेढ़ दिन तक चलता है, पर्फोर्मांस भी बहुत अच्छा है, पकड़ने में भी आसान है

77	neg	कमियां: आगे कैमरा नहीं है, कैमरा की इमेज क्वालिटी

78	pos	एचटीसी वन (HTC One) सीरीज खास तौर से बेहतर फोटोग्राफी और शानदार म्यूजिक क्षमता के लिए जाना जाता है। इस सीरीज में कंपनी अब तक तीन फोन पेश कर चुकी है। एचटीसी वन एक्स (HTC One X) और वन एस (One S) जहां उच्च श्रेणी के फोन हैं। वहीं वन वी (One V) को कंपनी ने मध्य श्रेणी में पेश किया है जिसकी कीमत 17,500 रुपए है। हालांकि इस कीमत स्तर में सोनी एक्सपीरीया सोला (Sony Xperia Sola) भी उपलब्ध है लेकिन स्पेसिफिकेशन के मामले में एचटीसी वन वी (HTC One V) कहीं बेहतर कहा जाएगा। सोनी एक्सपीरीया सोला को जहां एंडरायड आपरेटिंग 2.3 (Android Operating 2.3) पर पेश किया गया है वहीं एचटीसी वन वी में एंडरायड आपरेटिंग (4.0.3 Android Operating 4.0.3) है।
~79	con	कीमत और लुक दोनों मामलों में एचटीसी बेहतर है लेकिन क्या परफार्मेंस के मामले में भी यह उतना ही बेहतर है? यह जानना भी जरूरी है। 

==========================================================================
80	neu	इसे जेनफोन 2 नाम से लाया गया है जिसमें 4 जीबी रैम लगी है। यह एंड्रॉयड के लेटेस्ट वर्जन 5.0 लॉलीपॉप पर काम करता है। 
81	pos	इसके अलावा इसमें आगे और पीछे की तरफ जबरदस्त कैमरे और अंदर बड़ी बैटरी दिए गए हैं।
82	pos	शानदार प्रोसेसर और ज्यादा रैम होने के चलते इस स्मार्टफोन में कोई भी गेम चलाया जा सकता है फिर भी यह हैंग नहीं होगा। 
83	pos	इस स्मार्टफोन की सबसे खास बात ये है कि कम कीमत होने के बावजूद इसमें जबरदस्त फीचर्स दिए गए हैं।
84	pos	जबरदस्त प्रोसेसर से लैस इस स्मार्टफोन में 8 मेगापिक्सल कैमरा पीछे की तरफ दिया गया है। इसमें आगे की तरफ भी सेल्फी कैमरा दिया गया है।
85	pos	सस्ता होने के बावजूद इनफोकस एम2 स्मार्टफोन में प्रीमियम स्मार्टफोन्स जैसा डिजायन दिया गया है। 
86	pos	इसमें 4.2 इंच की एचडी टच डिस्पले स्क्रीन अच्छी चमक के साथ दी गई है जिसका रेजोल्युशन 1280*768 पिक्सल है। 
87	pos	इनफोकस एम2 अपने सेगमेंट में बहुत ही अच्छी परफोर्मेश वाला है। 
88	pos	इसकी बैटरी लाइफ काफ़ी अच्छी है। माइक्रोसॉफ्ट ने 640 में 2500 mAh की बैटरी और 640 XL में 3000 mAh बैटरी रखी है।
89	pos	कैनवस टर्बो मिनी का ऑडियो आउटपुट अच्छा है। बैटरी लाइफ 1 दिन की है। 
90	neg	इसी प्राइस में आप लावा आइरिस प्रो 30 भी देख सकते हैं, जिसमें यही स्पेसिफिकेशंस हैं, लेकिन ओवरऑल लुक के मामले में बेहतर है। --Positive or Negative?
91	pos	क्वॉलिटी के लिहाज से देखें तो माइक्रोमैक्स ने एक बहुत अच्छा स्मार्टफोन बनाया है।
92	neu	ऐसा लगता है कि माइक्रोमैक्स ने यूनाइट 2 के डिजाइनिंग पर बहुत मेहनत नहीं की है। इस स्मार्टफोन के किनारे घुमावदार हैं। यह दिखने में बहुत साधारण है। 
93	neg	साइज़ की वजह से नहीं, बल्कि डिजाइन की वजह से यूनाइट 2 को हाथ में पकड़े रखना तुलनात्मक रूप से थोड़ा मुश्किल है। 
94	neg	स्क्रीन के किनारे पर ज्यादा जगह की वजह से इसका पूरा साइज बढ़ गया है और इसी वजह से यह जितना बड़ा होना चाहिए था, उससे ज्यादा बड़ा है।
95	pos	बिल्ड क्वॉलिटी के लिहाज से देखें तो माइक्रोमैक्स ने एक बहुत अच्छा स्मार्टफोन बनाया है, जो हाथ में सॉलिड महसूस होता है
96	pos	कलर रीप्रडक्शन अच्छा है और कंट्रास्ट लेवल भी बढ़िया है। सीधे आंखों से पिक्सलेशन नहीं दिखाई देता है। धूप में स्क्रीन पर ठीक से देखा जा सकता है। किनारों से स्क्रीन देखने पर भी रंग कमोबेश ठीक दिखते हैं।
97	neg	मोटो E से तुलना करें तो मोटो E में इससे थोड़ी छोटी स्क्रीन (4.3 इंच) है लेकिन ज्यादा रेजॉलूशन (540x960p) है, क्लैरिटी और शार्पनेस के मामले में यूनाइट 2 की स्क्रीन थोड़ी कमजोर है।
99	neu	माइक्रोमैक्स के ज्यादातर ऐप्स को आप अनदेखा कर सकते हैं, लेकिन MAd ऐसा ऐप है, जो आपके हर कॉल करने पर सामने आ जाता है।
100	neu	आम इस्तेमाल में इसमें कहीं धीमापन या रुकावट नहीं आती है।
101	neu	कई भारी ऐप्स एक साथ चलाने पर यह थोड़ा अटकने लगता है, लेकिन ज्यादातर यूज़र्स को इसे इस्तेमाल करते हुए कोई खास दिक्कत नहीं होगी।
102	neg	यूनाइट 2 की कम रेजॉलूशन वाली स्क्रीन पर आपको गेम के अच्छे ग्राफिक्स डीटेल नहीं दिखाई देंगे, लेकिन ऐसा कम कीमत वाले ज्यादातर स्मार्टफोन्स के साथ होता है।
~103	pos	आप इस पर सभी विडियो फॉर्मैट चला सकते हैं, यहां तक कि 720p विडियो भी अच्छे चलते हैं। लेकिन इसे 1080p विडियोज़ के साथ दिक्कत होती है, जो स्वाभाविक है। 
104	neg	म्यूज़िक भी अच्छी तरह से चलता है, लेकिन ऑडियो आउटपुट बहुत अच्छा नहीं है। यह ठीक-ठाक है, लेकिन मोटो E के फ्रंट स्पीकर से आने वाली तेज आवाज से किसी भी तरह इसकी तुलना नहीं की जा सकती।
105	neu	इसकी 2000mAh बैटरी एक बार के चार्ज में करीब 12-13 घंटे चली।
106	pos	यूनाइट 2 कैमरा के मामले में बेहतर है, जिसकी वजह से कई लोग इसे लेने का फैसला कर सकते हैं।
107	pos	यूनाइट 2 से हमने जो तस्वीरें लीं, वे इस कीमत के स्मार्टफोन के हिसाब से बहुत अच्छी थीं।
108	con	फोन काफी अछा है लुक वाइज़ पर इसका कॅमरा अछा न्ही है. कम रोशनी मे एह अछि पिक नही ले पति. 
109	neg	सबसे बेकार कम्पनियों मे एक है माइक्रॉमॅक्स. इसमे हॉस्पोट नही होता .इसका स्क्रीन इतना कमजोर होता है की मेरे हाथ के हल्का दबने से ही मेरे टॅब का अल सी डी टूट गया . जो की 2000 का आता है .सेर्विसिंग बहुत खराब है .
110	pos	इसमें ऐल्युमिनियम यूनिबॉडी है, जिस पर इसे बिल्ड क्वॉलिटी के लिए फुल मार्क्स मिलते हैं। 
111	pos	इसके बैक पैनल की मैट फिनिश अच्छी ग्रिप देती है। 
112	pos	इसका पांच इंच का फुल एचडी डिस्प्ले शानदार व्यूइंग ऐंगल के साथ चटख रंग देता है।
113	pos	इसमें काम के कुछ अच्छे ऐप्स प्री-लोडेड हैं।
114	pos	इसके ज्यादातर फंक्शंस की परफॉर्मेंस दमदार है। 
115	nut	मल्टिटास्किंग और प्री-लोडेड आईफ्लोट ऐप के जरिए एक साथ कई विंडो में ऐप्स चलाने से यह स्लो नहीं होता। 
116	nut	इस पर फुल एचडी विडियो बिना प्रॉब्लम के चल जाता है।
117	pos	इस फोन की एक खास बात इसमें लगा 13 मेगापिक्सल्स का कैमरा है। 
118	pos	यह चटख रंगों और शार्प डीटेल वाले शानदार फोटो लेता है। 
119	neg	कम रोशनी में खींचे गए फोटो में बहुत नॉइज़ देखने को मिली, लेकिन फोन डिस्प्ले में देखने पर उनकी क्वॉलिटी ठीक-ठाक लगती है।
120	neg	हमें इसमें सिर्फ एक चीज पसंद नहीं आई, वह यह कि इसकी बैटरी सिर्फ 2000mAh की है।
121	neu	इसी प्राइस रेंज में इंटेक्स ऐक्वा i7 लिया जा सकता है, जिसके स्पेसिफिकेशंस कैनवस टर्बो जैसे ही हैं, लेकिन इसमें 32 जीबी स्टॉरेज कपैसिटी है।
122	con	इसमें व्यूइंग ऐंगल्स अच्छे हैं लेकिन रंग थोड़े फीके लगते हैं। 
123	pos	पिछला पैनल ऐल्युमिनियम का बना है और इसे निकाला नहीं जा सकता है। इसकी वजह से फोन मजबूत और प्रीमियम लगता है।
124	con	इसका स्टाइलस पिछले कैनवस डूडल के स्टाइलस से बेहतर है, हालांकि स्टाइलस को रखने का स्लॉट न होना बहुत खलता है।
125	con	12 मेगापिक्सल्स के कैमरे का इंटरफेस थोड़ा धीमा है और फोकस करने में वक्त लगाता है। हालांकि फोकस करने के बाद यह अच्छे रिजल्ट्स देता है।
126	pos	ठीक-ठाक कीमत पर डूडल 2 बड़ी स्क्रीन का बढ़िया एक्स्पीरियंस देता है।
