प्रतिस्पर्धियों	0	15	प	प्	प्र	ं	ों	यों	0	प	्	र	त	ि	प्	्र	रत	ति	िस	प्र	्रत	रति	तिस	िस्	प्रत	्रति	रतिस	तिस्	िस्प	प्रति	्रतिस	रतिस्	तिस्प	िस्पर	NULL	NULL	पर	भारी	0
आधारित	0	6	आ	आध	आधा	त	ित	रित	0	आ	ध	ा	र	ि	आध	धा	ार	रि	ित	आधा	धार	ारि	रित	ित_	आधार	धारि	ारित	रित_	ित__	आधारि	धारित	ारित_	रित__	ित___	NULL	गेम	प्रमोशनल	कैंपेन	I_ASP
प्रमोशनल	0	8	प	प्	प्र	ल	नल	शनल	0	प	्	र	म	ो	प्	्र	रम	मो	ोश	प्र	्रम	रमो	मोश	ोशन	प्रम	्रमो	रमोश	मोशन	ोशनल	प्रमो	्रमोश	रमोशन	मोशनल	ोशनल_	गेम	आधारित	कैंपेन	इसपर	I_ASP
कैंपेन	0	6	क	कै	कैं	न	ेन	पेन	0	क	ै	ं	प	े	कै	ैं	ंप	पे	ेन	कैं	ैंप	ंपे	पेन	ेन_	कैंप	ैंपे	ंपेन	पेन_	ेन__	कैंपे	ैंपेन	ंपेन_	पेन__	ेन___	आधारित	प्रमोशनल	इसपर	आसानी	I_ASP
इसपर	0	4	इ	इस	इसप	र	पर	सपर	0	इ	स	प	र	_	इस	सप	पर	र_	__	इसप	सपर	पर_	र__	___	इसपर	सपर_	पर__	र___	____	इसपर_	सपर__	पर___	र____	_____	प्रमोशनल	कैंपेन	आसानी	से	0
आसानी	0	5	आ	आस	आसा	ी	नी	ानी	0	आ	स	ा	न	ी	आस	सा	ान	नी	ी_	आसा	सान	ानी	नी_	ी__	आसान	सानी	ानी_	नी__	ी___	आसानी	सानी_	ानी__	नी___	ी____	कैंपेन	इसपर	से	चलाए	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	इसपर	आसानी	चलाए	जा	0
चलाए	0	4	च	चल	चला	ए	ाए	लाए	0	च	ल	ा	ए	_	चल	ला	ाए	ए_	__	चला	लाए	ाए_	ए__	___	चलाए	लाए_	ाए__	ए___	____	चलाए_	लाए__	ाए___	ए____	_____	आसानी	से	जा	सकते	0
जा	1	2	ज	जा	NULL	ा	जा	NULL	0	ज	ा	_	_	_	जा	ा_	__	__	__	जा_	ा__	___	___	___	जा__	ा___	____	____	____	जा___	ा____	_____	_____	_____	से	चलाए	सकते	हैं	0
सकते	1	4	स	सक	सकत	े	ते	कते	0	स	क	त	े	_	सक	कत	ते	े_	__	सकत	कते	ते_	े__	___	सकते	कते_	ते__	े___	____	सकते_	कते__	ते___	े____	_____	चलाए	जा	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	जा	सकते	NULL	NULL	0
EOL
डिवाइस	0	6	ड	डि	डिव	स	इस	ाइस	0	ड	ि	व	ा	इ	डि	िव	वा	ाइ	इस	डिव	िवा	वाइ	ाइस	इस_	डिवा	िवाइ	वाइस	ाइस_	इस__	डिवाइ	िवाइस	वाइस_	ाइस__	इस___	NULL	NULL	की	ग्राफिक	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	NULL	डिवाइस	ग्राफिक	और	0
ग्राफिक	0	7	ग	ग्	ग्र	क	िक	फिक	1	ग	्	र	ा	फ	ग्	्र	रा	ाफ	फि	ग्र	्रा	राफ	ाफि	फिक	ग्रा	्राफ	राफि	ाफिक	फिक_	ग्राफ	्राफि	राफिक	ाफिक_	फिक__	डिवाइस	की	और	प्रॉसेसिंग	B_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	की	ग्राफिक	प्रॉसेसिंग	क्वॉलिटी	0
प्रॉसेसिंग	0	10	प	प्	प्र	ग	ंग	िंग	0	प	्	र	ॉ	स	प्	्र	रॉ	ॉस	से	प्र	्रॉ	रॉस	ॉसे	सेस	प्रॉ	्रॉस	रॉसे	ॉसेस	सेसि	प्रॉस	्रॉसे	रॉसेस	ॉसेसि	सेसिं	ग्राफिक	और	क्वॉलिटी	में	B_ASP
क्वॉलिटी	0	8	क	क्	क्व	ी	टी	िटी	0	क	्	व	ॉ	ल	क्	्व	वॉ	ॉल	लि	क्व	्वॉ	वॉल	ॉलि	लिट	क्वॉ	्वॉल	वॉलि	ॉलिट	लिटी	क्वॉल	्वॉलि	वॉलिट	ॉलिटी	लिटी_	और	प्रॉसेसिंग	में	बढ़ोतरी	I_ASP
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	प्रॉसेसिंग	क्वॉलिटी	बढ़ोतरी	होने	0
बढ़ोतरी	0	7	ब	बढ	बढ़	ी	री	तरी	0	ब	ढ	़	ो	त	बढ	ढ़	़ो	ोत	तर	बढ़	ढ़ो	़ोत	ोतर	तरी	बढ़ो	ढ़ोत	़ोतर	ोतरी	तरी_	बढ़ोत	ढ़ोतर	़ोतरी	ोतरी_	तरी__	क्वॉलिटी	में	होने	के	0
होने	1	4	ह	हो	होन	े	ने	ोने	0	ह	ो	न	े	_	हो	ोन	ने	े_	__	होन	ोने	ने_	े__	___	होने	ोने_	ने__	े___	____	होने_	ोने__	ने___	े____	_____	में	बढ़ोतरी	के	साथ	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	बढ़ोतरी	होने	साथ	ही	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	होने	के	ही	पहले	0
ही	1	2	ह	ही	NULL	ी	ही	NULL	0	ह	ी	_	_	_	ही	ी_	__	__	__	ही_	ी__	___	___	___	ही__	ी___	____	____	____	ही___	ी____	_____	_____	_____	के	साथ	पहले	से	0
पहले	0	4	प	पह	पहल	े	ले	हले	0	प	ह	ल	े	_	पह	हल	ले	े_	__	पहल	हले	ले_	े__	___	पहले	हले_	ले__	े___	____	पहले_	हले__	ले___	े____	_____	साथ	ही	से	ज्यादा	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	ही	पहले	ज्यादा	घातक	0
ज्यादा	0	6	ज	ज्	ज्य	ा	दा	ादा	0	ज	्	य	ा	द	ज्	्य	या	ाद	दा	ज्य	्या	याद	ादा	दा_	ज्या	्याद	यादा	ादा_	दा__	ज्याद	्यादा	यादा_	ादा__	दा___	पहले	से	घातक	और	0
घातक	0	4	घ	घा	घात	क	तक	ातक	0	घ	ा	त	क	_	घा	ात	तक	क_	__	घात	ातक	तक_	क__	___	घातक	ातक_	तक__	क___	____	घातक_	ातक__	तक___	क____	_____	से	ज्यादा	और	ग्राफिक	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	ज्यादा	घातक	ग्राफिक	गेम्स	0
ग्राफिक	0	7	ग	ग्	ग्र	क	िक	फिक	1	ग	्	र	ा	फ	ग्	्र	रा	ाफ	फि	ग्र	्रा	राफ	ाफि	फिक	ग्रा	्राफ	राफि	ाफिक	फिक_	ग्राफ	्राफि	राफिक	ाफिक_	फिक__	घातक	और	गेम्स	आ	B_ASP
गेम्स	0	5	ग	गे	गेम	स	्स	म्स	1	ग	े	म	्	स	गे	ेम	म्	्स	स_	गेम	ेम्	म्स	्स_	स__	गेम्	ेम्स	म्स_	्स__	स___	गेम्स	ेम्स_	म्स__	्स___	स____	और	ग्राफिक	आ	चुके	0
आ	0	1	आ	NULL	NULL	आ	NULL	NULL	0	आ	_	_	_	_	आ_	__	__	__	__	आ__	___	___	___	___	आ___	____	____	____	____	आ____	_____	_____	_____	_____	ग्राफिक	गेम्स	चुके	हैं	0
चुके	0	4	च	चु	चुक	े	के	ुके	0	च	ु	क	े	_	चु	ुक	के	े_	__	चुक	ुके	के_	े__	___	चुके	ुके_	के__	े___	____	चुके_	ुके__	के___	े____	_____	गेम्स	आ	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	आ	चुके	NULL	NULL	0
EOL
कई	1	2	क	कई	NULL	ई	कई	NULL	0	क	ई	_	_	_	कई	ई_	__	__	__	कई_	ई__	___	___	___	कई__	ई___	____	____	____	कई___	ई____	_____	_____	_____	NULL	NULL	अच्छे	फीचर्स	0
अच्छे	0	5	अ	अच	अच्	े	छे	्छे	0	अ	च	्	छ	े	अच	च्	्छ	छे	े_	अच्	च्छ	्छे	छे_	े__	अच्छ	च्छे	्छे_	छे__	े___	अच्छे	च्छे_	्छे__	छे___	े____	NULL	कई	फीचर्स	के	0
फीचर्स	0	6	फ	फी	फीच	स	्स	र्स	1	फ	ी	च	र	्	फी	ीच	चर	र्	्स	फीच	ीचर	चर्	र्स	्स_	फीचर	ीचर्	चर्स	र्स_	्स__	फीचर्	ीचर्स	चर्स_	र्स__	्स___	कई	अच्छे	के	साथ	B_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	अच्छे	फीचर्स	साथ	इसकी	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	फीचर्स	के	इसकी	इमेज	0
इसकी	1	4	इ	इस	इसक	ी	की	सकी	0	इ	स	क	ी	_	इस	सक	की	ी_	__	इसक	सकी	की_	ी__	___	इसकी	सकी_	की__	ी___	____	इसकी_	सकी__	की___	ी____	_____	के	साथ	इमेज	की	0
इमेज	0	4	इ	इम	इमे	ज	ेज	मेज	0	इ	म	े	ज	_	इम	मे	ेज	ज_	__	इमे	मेज	ेज_	ज__	___	इमेज	मेज_	ेज__	ज___	____	इमेज_	मेज__	ेज___	ज____	_____	साथ	इसकी	की	क्वालिटी	B_ASP
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	इसकी	इमेज	क्वालिटी	भी	I_ASP
क्वालिटी	0	8	क	क्	क्व	ी	टी	िटी	1	क	्	व	ा	ल	क्	्व	वा	ाल	लि	क्व	्वा	वाल	ालि	लिट	क्वा	्वाल	वालि	ालिट	लिटी	क्वाल	्वालि	वालिट	ालिटी	लिटी_	इमेज	की	भी	बेहद	I_ASP
भी	0	2	भ	भी	NULL	ी	भी	NULL	0	भ	ी	_	_	_	भी	ी_	__	__	__	भी_	ी__	___	___	___	भी__	ी___	____	____	____	भी___	ी____	_____	_____	_____	की	क्वालिटी	बेहद	अच्छी	0
बेहद	0	4	ब	बे	बेह	द	हद	ेहद	0	ब	े	ह	द	_	बे	ेह	हद	द_	__	बेह	ेहद	हद_	द__	___	बेहद	ेहद_	हद__	द___	____	बेहद_	ेहद__	हद___	द____	_____	क्वालिटी	भी	अच्छी	है	0
अच्छी	0	5	अ	अच	अच्	ी	छी	्छी	0	अ	च	्	छ	ी	अच	च्	्छ	छी	ी_	अच्	च्छ	्छी	छी_	ी__	अच्छ	च्छी	्छी_	छी__	ी___	अच्छी	च्छी_	्छी__	छी___	ी____	भी	बेहद	है	NULL	0
है	1	2	ह	है	NULL	ै	है	NULL	0	ह	ै	_	_	_	है	ै_	__	__	__	है_	ै__	___	___	___	है__	ै___	____	____	____	है___	ै____	_____	_____	_____	बेहद	अच्छी	NULL	NULL	0
EOL
पीछे	0	4	प	पी	पीछ	े	छे	ीछे	0	प	ी	छ	े	_	पी	ीछ	छे	े_	__	पीछ	ीछे	छे_	े__	___	पीछे	ीछे_	छे__	े___	____	पीछे_	ीछे__	छे___	े____	_____	NULL	NULL	की	तरफ	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	NULL	पीछे	तरफ	3	0
तरफ	0	3	त	तर	तरफ	फ	रफ	तरफ	0	त	र	फ	_	_	तर	रफ	फ_	__	__	तरफ	रफ_	फ__	___	___	तरफ_	रफ__	फ___	____	____	तरफ__	रफ___	फ____	_____	_____	पीछे	की	3	इंच	0
3	0	1	3	NULL	NULL	3	NULL	NULL	0	3	_	_	_	_	3_	__	__	__	__	3__	___	___	___	___	3___	____	____	____	____	3____	_____	_____	_____	_____	की	तरफ	इंच	की	0
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	तरफ	3	की	एलसीडी	0
की	1	2	क	की	NULL	ी	की	NULL	0	क	ी	_	_	_	की	ी_	__	__	__	की_	ी__	___	___	___	की__	ी___	____	____	____	की___	ी____	_____	_____	_____	3	इंच	एलसीडी	और	0
एलसीडी	0	6	ए	एल	एलस	ी	डी	ीडी	0	ए	ल	स	ी	ड	एल	लस	सी	ीड	डी	एलस	लसी	सीड	ीडी	डी_	एलसी	लसीड	सीडी	ीडी_	डी__	एलसीड	लसीडी	सीडी_	ीडी__	डी___	इंच	की	और	सेटिंग	0
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	की	एलसीडी	सेटिंग	कंट्रोल	0
सेटिंग	0	6	स	से	सेट	ग	ंग	िंग	0	स	े	ट	ि	ं	से	ेट	टि	िं	ंग	सेट	ेटि	टिं	िंग	ंग_	सेटि	ेटिं	टिंग	िंग_	ंग__	सेटिं	ेटिंग	टिंग_	िंग__	ंग___	एलसीडी	और	कंट्रोल	के	B_ASP
कंट्रोल	0	7	क	कं	कंट	ल	ोल	रोल	1	क	ं	ट	्	र	कं	ंट	ट्	्र	रो	कंट	ंट्	ट्र	्रो	रोल	कंट्	ंट्र	ट्रो	्रोल	रोल_	कंट्र	ंट्रो	ट्रोल	्रोल_	रोल__	और	सेटिंग	के	लिए	I_ASP
