आपको	0	4	आ	आप	आपक	ो	को	पको	0	आ	प	क	ो	_	आप	पक	को	ो_	__	आपक	पको	को_	ो__	___	आपको	पको_	को__	ो___	____	आपको_	पको__	को___	ो____	_____	NULL	NULL	बस	एक	0
क्लसिक	0	6	क	क्	क्ल	क	िक	सिक	0	क	्	ल	स	ि	क्	्ल	लस	सि	िक	क्ल	्लस	लसि	सिक	िक_	क्लस	्लसि	लसिक	सिक_	िक__	क्लसि	्लसिक	लसिक_	सिक__	िक___	ने	इसमें	रेट्रो	लुक	0
रेट्रो	0	6	र	रे	रेट	ो	रो	्रो	0	र	े	ट	्	र	रे	ेट	ट्	्र	रो	रेट	ेट्	ट्र	्रो	रो_	रेट्	ेट्र	ट्रो	्रो_	रो__	रेट्र	ेट्रो	ट्रो_	्रो__	रो___	इसमें	क्लसिक	लुक	के	0
लुक	0	3	ल	लु	लुक	क	ुक	लुक	1	ल	ु	क	_	_	लु	ुक	क_	__	__	लुक	ुक_	क__	___	___	लुक_	ुक__	क___	____	____	लुक__	ुक___	क____	_____	_____	क्लसिक	रेट्रो	के	साथ	B_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	रेट्रो	लुक	साथ	बल्ब	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	लुक	के	बल्ब	डबल	0
बल्ब	0	4	ब	बल	बल्	ब	्ब	ल्ब	0	ब	ल	्	ब	_	बल	ल्	्ब	ब_	__	बल्	ल्ब	्ब_	ब__	___	बल्ब	ल्ब_	्ब__	ब___	____	बल्ब_	ल्ब__	्ब___	ब____	_____	के	साथ	डबल	एक्सपोजर	0
डबल	0	3	ड	डब	डबल	ल	बल	डबल	0	ड	ब	ल	_	_	डब	बल	ल_	__	__	डबल	बल_	ल__	___	___	डबल_	बल__	ल___	____	____	डबल__	बल___	ल____	_____	_____	साथ	बल्ब	एक्सपोजर	मेक्रो	B_ASP
एक्सपोजर	0	8	ए	एक	एक्	र	जर	ोजर	0	ए	क	्	स	प	एक	क्	्स	सप	पो	एक्	क्स	्सप	सपो	पोज	एक्स	क्सप	्सपो	सपोज	पोजर	एक्सप	क्सपो	्सपोज	सपोजर	पोजर_	बल्ब	डबल	मेक्रो	मोड	I_ASP
मेक्रो	0	6	म	मे	मेक	ो	रो	्रो	0	म	े	क	्	र	मे	ेक	क्	्र	रो	मेक	ेक्	क्र	्रो	रो_	मेक्	ेक्र	क्रो	्रो_	रो__	मेक्र	ेक्रो	क्रो_	्रो__	रो___	डबल	एक्सपोजर	मोड	तथा	B_ASP
मोड	0	3	म	मो	मोड	ड	ोड	मोड	0	म	ो	ड	_	_	मो	ोड	ड_	__	__	मोड	ोड_	ड__	___	___	मोड_	ोड__	ड___	____	____	मोड__	ोड___	ड____	_____	_____	एक्सपोजर	मेक्रो	तथा	हाइपरफोर्मेश	I_ASP
तथा	0	3	त	तथ	तथा	ा	था	तथा	0	त	थ	ा	_	_	तथ	था	ा_	__	__	तथा	था_	ा__	___	___	तथा_	था__	ा___	____	____	तथा__	था___	ा____	_____	_____	मेक्रो	मोड	हाइपरफोर्मेश	फ्लेश	0
हाइपरफोर्मेश	0	12	ह	हा	हाइ	श	ेश	मेश	0	ह	ा	इ	प	र	हा	ाइ	इप	पर	रफ	हाइ	ाइप	इपर	परफ	रफो	हाइप	ाइपर	इपरफ	परफो	रफोर	हाइपर	ाइपरफ	इपरफो	परफोर	रफोर्	मोड	तथा	फ्लेश	जैसे	B_ASP
फ्लेश	0	5	फ	फ्	फ्ल	श	ेश	लेश	0	फ	्	ल	े	श	फ्	्ल	ले	ेश	श_	फ्ल	्ले	लेश	ेश_	श__	फ्ले	्लेश	लेश_	ेश__	श___	फ्लेश	्लेश_	लेश__	ेश___	श____	तथा	हाइपरफोर्मेश	जैसे	फीचर्स	I_ASP
जैसे	1	4	ज	जै	जैस	े	से	ैसे	0	ज	ै	स	े	_	जै	ैस	से	े_	__	जैस	ैसे	से_	े__	___	जैसे	ैसे_	से__	े___	____	जैसे_	ैसे__	से___	े____	_____	हाइपरफोर्मेश	फ्लेश	फीचर्स	दिए	0
फीचर्स	0	6	फ	फी	फीच	स	्स	र्स	1	फ	ी	च	र	्	फी	ीच	चर	र्	्स	फीच	ीचर	चर्	र्स	्स_	फीचर	ीचर्	चर्स	र्स_	्स__	फीचर्	ीचर्स	चर्स_	र्स__	्स___	फ्लेश	जैसे	दिए	हैं	0
दिए	0	3	द	दि	दिए	ए	िए	दिए	0	द	ि	ए	_	_	दि	िए	ए_	__	__	दिए	िए_	ए__	___	___	दिए_	िए__	ए___	____	____	दिए__	िए___	ए____	_____	_____	जैसे	फीचर्स	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	फीचर्स	दिए	NULL	NULL	0
EOL
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	NULL	NULL	18	सीन	0
18	0	2	1	18	NULL	8	18	NULL	0	1	8	_	_	_	18	8_	__	__	__	18_	8__	___	___	___	18__	8___	____	____	____	18___	8____	_____	_____	_____	NULL	इसमें	सीन	मोड्स	0
सीन	0	3	स	सी	सीन	न	ीन	सीन	0	स	ी	न	_	_	सी	ीन	न_	__	__	सीन	ीन_	न__	___	___	सीन_	ीन__	न___	____	____	सीन__	ीन___	न____	_____	_____	इसमें	18	मोड्स	तथा	B_ASP
मोड्स	0	5	म	मो	मोड	स	्स	ड्स	0	म	ो	ड	्	स	मो	ोड	ड्	्स	स_	मोड	ोड्	ड्स	्स_	स__	मोड्	ोड्स	ड्स_	्स__	स___	मोड्स	ोड्स_	ड्स__	्स___	स____	18	सीन	तथा	10	I_ASP
तथा	0	3	त	तथ	तथा	ा	था	तथा	0	त	थ	ा	_	_	तथ	था	ा_	__	__	तथा	था_	ा__	___	___	तथा_	था__	ा___	____	____	तथा__	था___	ा____	_____	_____	सीन	मोड्स	10	से	0
10	0	2	1	10	NULL	0	10	NULL	0	1	0	_	_	_	10	0_	__	__	__	10_	0__	___	___	___	10__	0___	____	____	____	10___	0____	_____	_____	_____	मोड्स	तथा	से	ज्यादा	0
से	1	2	स	से	NULL	े	से	NULL	0	स	े	_	_	_	से	े_	__	__	__	से_	े__	___	___	___	से__	े___	____	____	____	से___	े____	_____	_____	_____	तथा	10	ज्यादा	इफेक्ट	0
ज्यादा	0	6	ज	ज्	ज्य	ा	दा	ादा	0	ज	्	य	ा	द	ज्	्य	या	ाद	दा	ज्य	्या	याद	ादा	दा_	ज्या	्याद	यादा	ादा_	दा__	ज्याद	्यादा	यादा_	ादा__	दा___	10	से	इफेक्ट	के	0
इफेक्ट	0	6	इ	इफ	इफे	ट	्ट	क्ट	0	इ	फ	े	क	्	इफ	फे	ेक	क्	्ट	इफे	फेक	ेक्	क्ट	्ट_	इफेक	फेक्	ेक्ट	क्ट_	्ट__	इफेक्	फेक्ट	ेक्ट_	क्ट__	्ट___	से	ज्यादा	के	साथ-साथ	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	ज्यादा	इफेक्ट	साथ-साथ	पोट्रेट	0
साथ-साथ	0	7	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	-	स	सा	ाथ	थ-	-स	सा	साथ	ाथ-	थ-स	-सा	साथ	साथ-	ाथ-स	थ-सा	-साथ	साथ_	साथ-स	ाथ-सा	थ-साथ	-साथ_	साथ__	इफेक्ट	के	पोट्रेट	टच-अप	0
पोट्रेट	0	7	प	पो	पोट	ट	ेट	रेट	0	प	ो	ट	्	र	पो	ोट	ट्	्र	रे	पोट	ोट्	ट्र	्रे	रेट	पोट्	ोट्र	ट्रे	्रेट	रेट_	पोट्र	ोट्रे	ट्रेट	्रेट_	रेट__	के	साथ-साथ	टच-अप	टूल	B_ASP
टच-अप	0	5	ट	टच	टच-	प	अप	-अप	0	ट	च	-	अ	प	टच	च-	-अ	अप	प_	टच-	च-अ	-अप	अप_	प__	टच-अ	च-अप	-अप_	अप__	प___	टच-अप	च-अप_	-अप__	अप___	प____	साथ-साथ	पोट्रेट	टूल	और	I_ASP
टूल	0	3	ट	टू	टूल	ल	ूल	टूल	0	ट	ू	ल	_	_	टू	ूल	ल_	__	__	टूल	ूल_	ल__	___	___	टूल_	ूल__	ल___	____	____	टूल__	ूल___	ल____	_____	_____	पोट्रेट	टच-अप	और	फेस	I_ASP
और	1	2	औ	और	NULL	र	और	NULL	0	औ	र	_	_	_	और	र_	__	__	__	और_	र__	___	___	___	और__	र___	____	____	____	और___	र____	_____	_____	_____	टच-अप	टूल	फेस	डिटेक्शन	0
फेस	0	3	फ	फे	फेस	स	ेस	फेस	0	फ	े	स	_	_	फे	ेस	स_	__	__	फेस	ेस_	स__	___	___	फेस_	ेस__	स___	____	____	फेस__	ेस___	स____	_____	_____	टूल	और	डिटेक्शन	जैसे	B_ASP
डिटेक्शन	0	8	ड	डि	डिट	न	शन	्शन	0	ड	ि	ट	े	क	डि	िट	टे	ेक	क्	डिट	िटे	टेक	ेक्	क्श	डिटे	िटेक	टेक्	ेक्श	क्शन	डिटेक	िटेक्	टेक्श	ेक्शन	क्शन_	और	फेस	जैसे	फीचर	I_ASP
जैसे	1	4	ज	जै	जैस	े	से	ैसे	0	ज	ै	स	े	_	जै	ैस	से	े_	__	जैस	ैसे	से_	े__	___	जैसे	ैसे_	से__	े___	____	जैसे_	ैसे__	से___	े____	_____	फेस	डिटेक्शन	फीचर	दिए	0
फीचर	0	4	फ	फी	फीच	र	चर	ीचर	1	फ	ी	च	र	_	फी	ीच	चर	र_	__	फीच	ीचर	चर_	र__	___	फीचर	ीचर_	चर__	र___	____	फीचर_	ीचर__	चर___	र____	_____	डिटेक्शन	जैसे	दिए	गए	0
दिए	0	3	द	दि	दिए	ए	िए	दिए	0	द	ि	ए	_	_	दि	िए	ए_	__	__	दिए	िए_	ए__	___	___	दिए_	िए__	ए___	____	____	दिए__	िए___	ए____	_____	_____	जैसे	फीचर	गए	हैं	0
गए	0	2	ग	गए	NULL	ए	गए	NULL	0	ग	ए	_	_	_	गए	ए_	__	__	__	गए_	ए__	___	___	___	गए__	ए___	____	____	____	गए___	ए____	_____	_____	_____	फीचर	दिए	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	दिए	गए	NULL	NULL	0
EOL
इसमें	1	5	इ	इस	इसम	ं	ें	में	0	इ	स	म	े	ं	इस	सम	मे	ें	ं_	इसम	समे	में	ें_	ं__	इसमे	समें	में_	ें__	ं___	इसमें	समें_	में__	ें___	ं____	NULL	NULL	11	प्रेसेट	0
11	0	2	1	11	NULL	1	11	NULL	0	1	1	_	_	_	11	1_	__	__	__	11_	1__	___	___	___	11__	1___	____	____	____	11___	1____	_____	_____	_____	NULL	इसमें	प्रेसेट	सीन	0
प्रेसेट	0	7	प	प्	प्र	ट	ेट	सेट	0	प	्	र	े	स	प्	्र	रे	ेस	से	प्र	्रे	रेस	ेसे	सेट	प्रे	्रेस	रेसे	ेसेट	सेट_	प्रेस	्रेसे	रेसेट	ेसेट_	सेट__	इसमें	11	सीन	मोड्स	B_ASP
सीन	0	3	स	सी	सीन	न	ीन	सीन	0	स	ी	न	_	_	सी	ीन	न_	__	__	सीन	ीन_	न__	___	___	सीन_	ीन__	न___	____	____	सीन__	ीन___	न____	_____	_____	11	प्रेसेट	मोड्स	चार	I_ASP
मोड्स	0	5	म	मो	मोड	स	्स	ड्स	0	म	ो	ड	्	स	मो	ोड	ड्	्स	स_	मोड	ोड्	ड्स	्स_	स__	मोड्	ोड्स	ड्स_	्स__	स___	मोड्स	ोड्स_	ड्स__	्स___	स____	प्रेसेट	सीन	चार	पिक्चर	I_ASP
चार	0	3	च	चा	चार	र	ार	चार	0	च	ा	र	_	_	चा	ार	र_	__	__	चार	ार_	र__	___	___	चार_	ार__	र___	____	____	चार__	ार___	र____	_____	_____	सीन	मोड्स	पिक्चर	इफेक्ट्स	0
पिक्चर	0	6	प	पि	पिक	र	चर	्चर	0	प	ि	क	्	च	पि	िक	क्	्च	चर	पिक	िक्	क्च	्चर	चर_	पिक्	िक्च	क्चर	्चर_	चर__	पिक्च	िक्चर	क्चर_	्चर__	चर___	मोड्स	चार	इफेक्ट्स	तथा	B_ASP
इफेक्ट्स	0	8	इ	इफ	इफे	स	्स	ट्स	0	इ	फ	े	क	्	इफ	फे	ेक	क्	्ट	इफे	फेक	ेक्	क्ट	्ट्	इफेक	फेक्	ेक्ट	क्ट्	्ट्स	इफेक्	फेक्ट	ेक्ट्	क्ट्स	्ट्स_	चार	पिक्चर	तथा	आठ	I_ASP
तथा	0	3	त	तथ	तथा	ा	था	तथा	0	त	थ	ा	_	_	तथ	था	ा_	__	__	तथा	था_	ा__	___	___	तथा_	था__	ा___	____	____	तथा__	था___	ा____	_____	_____	पिक्चर	इफेक्ट्स	आठ	फेस	0
आठ	0	2	आ	आठ	NULL	ठ	आठ	NULL	0	आ	ठ	_	_	_	आठ	ठ_	__	__	__	आठ_	ठ__	___	___	___	आठ__	ठ___	____	____	____	आठ___	ठ____	_____	_____	_____	इफेक्ट्स	तथा	फेस	फ्रेम	0
फेस	0	3	फ	फे	फेस	स	ेस	फेस	0	फ	े	स	_	_	फे	ेस	स_	__	__	फेस	ेस_	स__	___	___	फेस_	ेस__	स___	____	____	फेस__	ेस___	स____	_____	_____	तथा	आठ	फ्रेम	दिए	B_ASP
फ्रेम	0	5	फ	फ्	फ्र	म	ेम	रेम	0	फ	्	र	े	म	फ्	्र	रे	ेम	म_	फ्र	्रे	रेम	ेम_	म__	फ्रे	्रेम	रेम_	ेम__	म___	फ्रेम	्रेम_	रेम__	ेम___	म____	आठ	फेस	दिए	गए	I_ASP
दिए	0	3	द	दि	दिए	ए	िए	दिए	0	द	ि	ए	_	_	दि	िए	ए_	__	__	दिए	िए_	ए__	___	___	दिए_	िए__	ए___	____	____	दिए__	िए___	ए____	_____	_____	फेस	फ्रेम	गए	हैं	0
गए	0	2	ग	गए	NULL	ए	गए	NULL	0	ग	ए	_	_	_	गए	ए_	__	__	__	गए_	ए__	___	___	___	गए__	ए___	____	____	____	गए___	ए____	_____	_____	_____	फ्रेम	दिए	हैं	NULL	0
हैं	1	3	ह	है	हैं	ं	ैं	हैं	0	ह	ै	ं	_	_	है	ैं	ं_	__	__	हैं	ैं_	ं__	___	___	हैं_	ैं__	ं___	____	____	हैं__	ैं___	ं____	_____	_____	दिए	गए	NULL	NULL	0
EOL
एप्पल	0	5	ए	एप	एप्	ल	पल	्पल	0	ए	प	्	प	ल	एप	प्	्प	पल	ल_	एप्	प्प	्पल	पल_	ल__	एप्प	प्पल	्पल_	पल__	ल___	एप्पल	प्पल_	्पल__	पल___	ल____	NULL	NULL	के	नए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	NULL	एप्पल	नए	15	0
नए	0	2	न	नए	NULL	ए	नए	NULL	0	न	ए	_	_	_	नए	ए_	__	__	__	नए_	ए__	___	___	___	नए__	ए___	____	____	____	नए___	ए____	_____	_____	_____	एप्पल	के	15	इंच	0
15	0	2	1	15	NULL	5	15	NULL	0	1	5	_	_	_	15	5_	__	__	__	15_	5__	___	___	___	15__	5___	____	____	____	15___	5____	_____	_____	_____	के	नए	इंच	लैपटॉप	0
इंच	0	3	इ	इं	इंच	च	ंच	इंच	0	इ	ं	च	_	_	इं	ंच	च_	__	__	इंच	ंच_	च__	___	___	इंच_	ंच__	च___	____	____	इंच__	ंच___	च____	_____	_____	नए	15	लैपटॉप	में	0
लैपटॉप	0	6	ल	लै	लैप	प	ॉप	टॉप	0	ल	ै	प	ट	ॉ	लै	ैप	पट	टॉ	ॉप	लैप	ैपट	पटॉ	टॉप	ॉप_	लैपट	ैपटॉ	पटॉप	टॉप_	ॉप__	लैपटॉ	ैपटॉप	पटॉप_	टॉप__	ॉप___	15	इंच	में	16	0
में	1	3	म	मे	में	ं	ें	में	0	म	े	ं	_	_	मे	ें	ं_	__	__	में	ें_	ं__	___	___	में_	ें__	ं___	____	____	में__	ें___	ं____	_____	_____	इंच	लैपटॉप	16	GB	0
16	0	2	1	16	NULL	6	16	NULL	0	1	6	_	_	_	16	6_	__	__	__	16_	6__	___	___	___	16__	6___	____	____	____	16___	6____	_____	_____	_____	लैपटॉप	में	GB	इंटरनल	0
GB	0	2	G	GB	NULL	B	GB	NULL	0	G	B	_	_	_	GB	B_	__	__	__	GB_	B__	___	___	___	GB__	B___	____	____	____	GB___	B____	_____	_____	_____	में	16	इंटरनल	मेमोरी	0
इंटरनल	0	6	इ	इं	इंट	ल	नल	रनल	1	इ	ं	ट	र	न	इं	ंट	टर	रन	नल	इंट	ंटर	टरन	रनल	नल_	इंटर	ंटरन	टरनल	रनल_	नल__	इंटरन	ंटरनल	टरनल_	रनल__	नल___	16	GB	मेमोरी	के	B_ASP
मेमोरी	0	6	म	मे	मेम	ी	री	ोरी	1	म	े	म	ो	र	मे	ेम	मो	ोर	री	मेम	ेमो	मोर	ोरी	री_	मेमो	ेमोर	मोरी	ोरी_	री__	मेमोर	ेमोरी	मोरी_	ोरी__	री___	GB	इंटरनल	के	साथ	I_ASP
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	इंटरनल	मेमोरी	साथ	2.2	0
साथ	1	3	स	सा	साथ	थ	ाथ	साथ	0	स	ा	थ	_	_	सा	ाथ	थ_	__	__	साथ	ाथ_	थ__	___	___	साथ_	ाथ__	थ___	____	____	साथ__	ाथ___	थ____	_____	_____	मेमोरी	के	2.2	GHz	0
2.2	0	3	2	2.	2.2	2	.2	2.2	0	2	.	2	_	_	2.	.2	2_	__	__	2.2	.2_	2__	___	___	2.2_	.2__	2___	____	____	2.2__	.2___	2____	_____	_____	के	साथ	GHz	का	0
GHz	0	3	G	GH	GHz	z	Hz	GHz	0	G	H	z	_	_	GH	Hz	z_	__	__	GHz	Hz_	z__	___	___	GHz_	Hz__	z___	____	____	GHz__	Hz___	z____	_____	_____	साथ	2.2	का	क्वाड	0
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	2.2	GHz	क्वाड	कोर	0
क्वाड	0	5	क	क्	क्व	ड	ाड	वाड	0	क	्	व	ा	ड	क्	्व	वा	ाड	ड_	क्व	्वा	वाड	ाड_	ड__	क्वा	्वाड	वाड_	ाड__	ड___	क्वाड	्वाड_	वाड__	ाड___	ड____	GHz	का	कोर	इंटेल	B_ASP
कोर	0	3	क	को	कोर	र	ोर	कोर	0	क	ो	र	_	_	को	ोर	र_	__	__	कोर	ोर_	र__	___	___	कोर_	ोर__	र___	____	____	कोर__	ोर___	र____	_____	_____	का	क्वाड	इंटेल	कोर	I_ASP
इंटेल	0	5	इ	इं	इंट	ल	ेल	टेल	0	इ	ं	ट	े	ल	इं	ंट	टे	ेल	ल_	इंट	ंटे	टेल	ेल_	ल__	इंटे	ंटेल	टेल_	ेल__	ल___	इंटेल	ंटेल_	टेल__	ेल___	ल____	क्वाड	कोर	कोर	प्रोसेसर	I_ASP
कोर	0	3	क	को	कोर	र	ोर	कोर	0	क	ो	र	_	_	को	ोर	र_	__	__	कोर	ोर_	र__	___	___	कोर_	ोर__	र___	____	____	कोर__	ोर___	र____	_____	_____	कोर	इंटेल	प्रोसेसर	दिया	I_ASP
प्रोसेसर	0	8	प	प्	प्र	र	सर	ेसर	1	प	्	र	ो	स	प्	्र	रो	ोस	से	प्र	्रो	रोस	ोसे	सेस	प्रो	्रोस	रोसे	ोसेस	सेसर	प्रोस	्रोसे	रोसेस	ोसेसर	सेसर_	इंटेल	कोर	दिया	गया	I_ASP
दिया	1	4	द	दि	दिय	ा	या	िया	0	द	ि	य	ा	_	दि	िय	या	ा_	__	दिय	िया	या_	ा__	___	दिया	िया_	या__	ा___	____	दिया_	िया__	या___	ा____	_____	कोर	प्रोसेसर	गया	है	0
गया	1	3	ग	गय	गया	ा	या	गया	0	ग	य	ा	_	_	गय	या	ा_	__	__	गया	या_	ा__	___	___	गया_	या__	ा___	____	____	गया__	या___	ा____	_____	_____	प्रोसेसर	दिया	है	NULL	0
