हुवैई	0	5	ह	हु	हुव	ई	ैई	वैई	0	ह	ु	व	ै	ई	हु	ुव	वै	ैई	ई_	हुव	ुवै	वैई	ैई_	ई__	हुवै	ुवैई	वैई_	ैई__	ई___	हुवैई	ुवैई_	वैई__	ैई___	ई____	NULL	NULL	मीडिया	पैड	0
1.3	0	3	1	1.	1.3	3	.3	1.3	0	1	.	3	_	_	1.	.3	3_	__	__	1.3	.3_	3__	___	___	1.3_	.3__	3___	____	____	1.3__	.3___	3____	_____	_____	पिछला	एवं	मेगापिक्सल	का	I_ASP
मेगापिक्सल	0	10	म	मे	मेग	ल	सल	्सल	0	म	े	ग	ा	प	मे	ेग	गा	ाप	पि	मेग	ेगा	गाप	ापि	पिक	मेगा	ेगाप	गापि	ापिक	पिक्	मेगाप	ेगापि	गापिक	ापिक्	पिक्स	एवं	1.3	का	सामने	I_ASP
का	1	2	क	का	NULL	ा	का	NULL	1	क	ा	_	_	_	का	ा_	__	__	__	का_	ा__	___	___	___	का__	ा___	____	____	____	का___	ा____	_____	_____	_____	1.3	मेगापिक्सल	सामने	वाला	I_ASP
सामने	0	5	स	सा	साम	े	ने	मने	0	स	ा	म	न	े	सा	ाम	मन	ने	े_	साम	ामन	मने	ने_	े__	सामन	ामने	मने_	ने__	े___	सामने	ामने_	मने__	ने___	े____	मेगापिक्सल	का	वाला	कैमरा	I_ASP
वाला	0	4	व	वा	वाल	ा	ला	ाला	0	व	ा	ल	ा	_	वा	ाल	ला	ा_	__	वाल	ाला	ला_	ा__	___	वाला	ाला_	ला__	ा___	____	वाला_	ाला__	ला___	ा____	_____	का	सामने	कैमरा	चैटिंग	I_ASP
कैमरा	0	5	क	कै	कैम	ा	रा	मरा	1	क	ै	म	र	ा	कै	ैम	मर	रा	ा_	कैम	ैमर	मरा	रा_	ा__	कैमर	ैमरा	मरा_	रा__	ा___	कैमरा	ैमरा_	मरा__	रा___	ा____	सामने	वाला	चैटिंग	के	I_ASP
चैटिंग	0	6	च	चै	चैट	ग	ंग	िंग	0	च	ै	ट	ि	ं	चै	ैट	टि	िं	ंग	चैट	ैटि	टिं	िंग	ंग_	चैटि	ैटिं	टिंग	िंग_	ंग__	चैटिं	ैटिंग	टिंग_	िंग__	ंग___	वाला	कैमरा	के	लिए	0
के	1	2	क	के	NULL	े	के	NULL	0	क	े	_	_	_	के	े_	__	__	__	के_	े__	___	___	___	के__	े___	____	____	____	के___	े____	_____	_____	_____	कैमरा	चैटिंग	लिए	NULL	0
लिए	1	3	ल	लि	लिए	ए	िए	लिए	0	ल	ि	ए	_	_	लि	िए	ए_	__	__	लिए	िए_	ए__	___	___	लिए_	िए__	ए___	____	____	लिए__	िए___	ए____	_____	_____	चैटिंग	के	NULL	NULL	0
EOL
