बुध	ुधव	धवा	वार	ार_	
ऐसा	सा_	ा__	___	___	
होत	ोता	ता_	ा__	___	
है_	ै__	___	___	___	
कि_	ि__	___	___	___	
आपक	पका	का_	ा__	___	
लॉग	ॉगइ	गइन	इन_	न__	
ओपन	पन_	न__	___	___	
ही_	ी__	___	___	___	
रह_	ह__	___	___	___	
जात	ाता	ता_	ा__	___	
है_	ै__	___	___	___	
और_	र__	___	___	___	
कोई	ोई_	ई__	___	___	
भी_	ी__	___	___	___	
इसक	सका	का_	ा__	___	
दुर	ुरु	रुप	ुपय	पयो	
कर_	र__	___	___	___	
सकत	कता	ता_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

अब_	ब__	___	___	___	
नए_	ए__	___	___	___	
फीच	ीचर	चर_	र__	___	
से_	े__	___	___	___	
इस_	स__	___	___	___	
तरह	रह_	ह__	___	___	
की_	ी__	___	___	___	
गलत	लति	तिय	िया	यां	
नही	हीं	ीं_	ं__	___	
हों	ोंग	ंगी	गी_	ी__	
और_	र__	___	___	___	
अका	काउ	ाउं	उंट	ंट_	
को_	ो__	___	___	___	
हैक	ैक_	क__	___	___	
करन	रना	ना_	ा__	___	
बेह	ेहद	हद_	द__	___	
मुश	ुश्	श्क	्कि	किल	
हो_	ो__	___	___	___	
जाए	ाएग	एगा	गा_	ा__	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

एंड	ंड्	ड्र	्रॉ	रॉय	
4.4	.4.	4.4	.4_	4__	
से_	े__	___	___	___	
ऊपर	पर_	र__	___	___	
के_	े__	___	___	___	
वर्	र्ज	्जन	जन_	न__	
पर_	र__	___	___	___	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
काम	ाम_	म__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

Twi	wit	itt	tte	ter	
per	eri	ris	isc	sco	
App	pp_	p__	___	___	
एंड	ंड्	ड्र	्रॉ	रॉय	
4.4	.4.	4.4	.4_	4__	
किट	िटक	टकै	कैट	ैट_	
या_	ा__	___	___	___	
उसस	ससे	से_	े__	___	
ऊपर	पर_	र__	___	___	
के_	े__	___	___	___	
वर्	र्ज	्जन	जन_	न__	
पर_	र__	___	___	___	
काम	ाम_	म__	___	___	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कंप	ंपन	पनी	नी_	ी__	
के_	े__	___	___	___	
मुत	ुता	ताब	ाबि	बिक	
,__	___	___	___	___	
एंड	ंड्	ड्र	्रॉ	रॉय	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
आए_	ए__	___	___	___	
पेर	ेरि	रिस	िस्	स्क	
में	ें_	ं__	___	___	
सभी	भी_	ी__	___	___	
कोर	ोर_	र__	___	___	
फीच	ीचर	चर्	र्स	्स_	
हैं	ैं_	ं__	___	___	
जो_	ो__	___	___	___	
यूज	ूजर	जर्	र्स	्स_	
द्व	्वा	वार	ारा	रा_	
पसं	संद	ंद_	द__	___	
किय	िये	ये_	े__	___	
गए_	ए__	___	___	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पेर	ेरि	रिस	िस्	स्क	
के_	े__	___	___	___	
एंड	ंड्	ड्र	्रॉ	रॉय	
वर्	र्ज	्जन	जन_	न__	
में	ें_	ं__	___	___	
कुछ	ुछ_	छ__	___	___	
ऎसे	से_	े__	___	___	
यून	ूनि	निक	िक_	क__	
फीच	ीचर	चर्	र्स	्स_	
भी_	ी__	___	___	___	
हैं	ैं_	ं__	___	___	
दिए	िए_	ए__	___	___	
गए_	ए__	___	___	___	
हैं	ैं_	ं__	___	___	
जो_	ो__	___	___	___	
आईओ	ईओए	ओएस	एस_	स__	
में	ें_	ं__	___	___	
नही	हीं	ीं_	ं__	___	
दिए	िए_	ए__	___	___	
गए_	ए__	___	___	___	
थे_	े__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसम	समे	में	ें_	ं__	
मेट	ेटे	टेर	ेरि	रिय	
इन्	न्स	्स्	स्प	्पा	
डिज	िजा	जाइ	ाइन	इन_	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
एंड	ंड्	ड्र	्रॉ	रॉय	
यूज	ूजर	जर्	र्स	्स_	
को_	ो__	___	___	___	
मॉड	ॉडर	डर्	र्न	्न_	
लगे	गेग	ेगा	गा_	ा__	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पेर	ेरि	रिस	िस्	स्क	
एप_	प__	___	___	___	
यूज	ूजर	जर्	र्स	्स_	
भी_	ी__	___	___	___	
अडि	डिश	िशन	शनल	नल_	
पुश	ुश_	श__	___	___	
नोट	ोटि	टिफ	िफि	फिक	
सेट	ेटि	टिं	िंग	ंग्	
अपन	पने	ने_	े__	___	
हिस	िसा	साब	ाब_	ब__	
से_	े__	___	___	___	
सेट	ेट_	ट__	___	___	
कर_	र__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
जैस	ैसे	से_	े__	___	
फर्	र्स	्स्	स्ट	्ट_	
टाइ	ाइम	इम_	म__	___	
ब्र	्रॉ	रॉड	ॉडक	डका	
नोट	ोटि	टिफ	िफि	फिक	
और_	र__	___	___	___	
शेय	ेयर	यर_	र__	___	
नोट	ोटि	टिफ	िफि	फिक	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पेर	ेरि	रिस	िस्	स्क	
एप_	प__	___	___	___	
में	ें_	ं__	___	___	
रिज	िज्	ज्य	्यू	यूम	
नोट	ोटि	टिफ	िफि	फिक	
फीच	ीचर	चर_	र__	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
बहु	हुत	ुत_	त__	___	
ही_	ी__	___	___	___	
खास	ास_	स__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
फीच	ीचर	चर_	र__	___	
के_	े__	___	___	___	
तहत	हत_	त__	___	___	
यूज	ूजर	जर_	र__	___	
ब्र	्रॉ	रॉड	ॉडक	डका	
के_	े__	___	___	___	
जरि	रिए	िए_	ए__	___	
देख	ेखे	खे_	े__	___	
जान	ाने	ने_	े__	___	
वाल	ाले	ले_	े__	___	
वीड	ीडि	डिय	ियो	यो_	
रूक	ूकन	कने	ने_	े__	
पर_	र__	___	___	___	
फिर	िर_	र__	___	___	
वही	हीं	ीं_	ं__	___	
से_	े__	___	___	___	
देा	ेा_	ा__	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
जहा	हां	ां_	ं__	___	
वो_	ो__	___	___	___	
रूक	ूका	का_	ा__	___	
था_	ा__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सके	के_	े__	___	
अला	लाव	ावा	वा_	ा__	
इसक	सके	के_	े__	___	
दूस	ूसर	सरे	रे_	े__	
फीच	ीचर	चर्	र्स	्स_	
में	ें_	ं__	___	___	
बिन	िना	ना_	ा__	___	
ब्र	्रॉ	रॉड	ॉडक	डका	
के_	े__	___	___	___	
फाइ	ाइल	इल_	ल__	___	
अपल	पलो	लोड	ोड_	ड__	
किय	िये	ये_	े__	___	
भी_	ी__	___	___	___	
रिप	िप्	प्प	्पल	पले	
सेव	ेव_	व__	___	___	
हो_	ो__	___	___	___	
जात	ाते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इस_	स__	___	___	___	
फीच	ीचर	चर_	र__	___	
के_	े__	___	___	___	
तहत	हत_	त__	___	___	
ब्र	्रॉ	रॉड	ॉडक	डका	
का_	ा__	___	___	___	
टाइ	ाइम	इम_	म__	___	
और_	र__	___	___	___	
मोब	ोबा	बाइ	ाइल	इल_	
डेट	ेटा	टा_	ा__	___	
दोन	ोनो	नों	ों_	ं__	
की_	ी__	___	___	___	
बचत	चत_	त__	___	___	
होत	ोती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

आपक	पके	के_	े__	___	
स्म	्मा	मार	ार्	र्ट	
में	ें_	ं__	___	___	
ज्य	्या	याद	ादा	दात	
एप_	प__	___	___	___	
ऎसे	से_	े__	___	___	
ही_	ी__	___	___	___	
हैं	ैं_	ं__	___	___	
जिन	िनस	नसे	से_	े__	
आपक	पको	को_	ो__	___	
अपन	पनी	नी_	ी__	___	
जेब	ेब_	ब__	___	___	
का_	ा__	___	___	___	
पैस	ैसा	सा_	ा__	___	
खर्	र्च	्च_	च__	___	
कर_	र__	___	___	___	
ही_	ी__	___	___	___	
कुछ	ुछ_	छ__	___	___	
काम	ाम_	म__	___	___	
लिय	िया	या_	ा__	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
एक_	क__	___	___	___	
ऎसी	सी_	ी__	___	___	
एप_	प__	___	___	___	
भी_	ी__	___	___	___	
है_	ै__	___	___	___	
जिस	िसम	समे	में	ें_	
आपक	पको	को_	ो__	___	
ना_	ा__	___	___	___	
केव	ेवल	वल_	ल__	___	
फ्र	्री	री_	ी__	___	
में	ें_	ं__	___	___	
रिच	िचा	चार	ार्	र्ज	
मिल	िल_	ल__	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
बल्	ल्क	्कि	कि_	ि__	
डिस	िस्	स्क	्का	काउ	
कूप	ूपन	पन_	न__	___	
भी_	ी__	___	___	___	
प्र	्रा	राप	ाप्	प्त	
किए	िए_	ए__	___	___	
जा_	ा__	___	___	___	
सकत	कते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

गूग	ूगल	गल_	ल__	___	
प्ल	्ले	ले_	े__	___	
स्ट	्टो	टोर	ोर_	र__	
पर_	र__	___	___	___	
इस_	स__	___	___	___	
एप_	प__	___	___	___	
को_	ो__	___	___	___	
फ्र	्री	री_	ी__	___	
में	ें_	ं__	___	___	
अपन	पने	ने_	े__	___	
मोब	ोबा	बाइ	ाइल	इल_	
में	ें_	ं__	___	___	
डाउ	ाउन	उनल	नलो	लोड	
किय	िया	या_	ा__	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

स्ल	्लि	लिक	िक_	क__	
इंट	ंटर	टरफ	रफे	फेस	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

मैस	ैसे	सें	ेंज	ंजर	
अब_	ब__	___	___	___	
ब्ल	्लै	लैक	ैकब	कबे	
स्म	्मा	मार	ार्	र्ट	
तक_	क__	___	___	___	
ही_	ी__	___	___	___	
सीम	ीमि	मित	ित_	त__	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

3जी	जी_	ी__	___	___	
पर_	र__	___	___	___	
मैस	ैसे	सेज	ेज_	ज__	
डिल	िली	लीव	ीवर	वरी	
व्ह	्हा	हाट	ाट्	ट्स	
और_	र__	___	___	___	
आर्	र्इ	्इम	इमै	मैस	
की_	ी__	___	___	___	
तुल	ुलन	लना	ना_	ा__	
में	ें_	ं__	___	___	
बहु	हुत	ुत_	त__	___	
तेज	ेज_	ज__	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

व्ह	्हा	हाट	ाट्	ट्स	
जैस	ैसा	सा_	ा__	___	
फीच	ीचर	चर_	र__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

ऑटो	टो_	ो__	___	___	
करे	रे​	े​क	​क्	क्ट	
के_	े__	___	___	___	
दौर	ौरा	रान	ान_	न__	
स्ट	्टॉ	टॉक	ॉक_	क__	
आर्	र्इ	्इओ	इओए	ओएस	
कीब	ीबो	बोर	ोर्	र्ड	
अलग	लग_	ग__	___	___	
तरह	रह_	ह__	___	___	
से_	े__	___	___	___	
काम	ाम_	म__	___	___	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

प्र	्रत	रति	तिस	िस्	
पर_	र__	___	___	___	
भार	ारी	री_	ी__	___	
पड़	ड़न	़ने	ने_	े__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
वॉय	ॉयस	यस_	स__	___	
और_	र__	___	___	___	
वीड	ीडि	डिय	ियो	यो_	
कॉल	ॉल्	ल्स	्स_	स__	
की_	ी__	___	___	___	
जरू	रूर	ूरत	रत_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
किस	िसी	सी_	ी__	___	
भी_	ी__	___	___	___	
साध	ाधन	धन_	न__	___	
से_	े__	___	___	___	
प्र	्रा	राप	ाप्	प्त	
एक_	क__	___	___	___	
क्र	्रा	रां	ांत	ंति	
मैं	ैंस	ंसे	सें	ेंज	
नही	हीं	ीं_	ं__	___	
,__	___	___	___	___	
लेक	ेकि	किन	िन_	न__	
मैस	ैसे	सें	ेंज	ंजर	
क्ल	्ला	लाए	ाएं	एंट	
से_	े__	___	___	___	
भरप	रपू	पूर	ूर_	र__	
एक_	क__	___	___	___	
इको	को_	ो__	___	___	
सिस	िस्	स्ट	्टम	टम_	
में	ें_	ं__	___	___	
,__	___	___	___	___	
यह_	ह__	___	___	___	
सबस	बसे	से_	े__	___	
स्ल	्लि	लिक	िके	केस	
ऑप्	प्श	्शन	शन्	न्स	
में	ें_	ं__	___	___	
से_	े__	___	___	___	
एक_	क__	___	___	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

यह_	ह__	___	___	___	
शाय	ायद	यद_	द__	___	
सबस	बसे	से_	े__	___	
अच्	च्छ	्छी	छी_	ी__	
बात	ात_	त__	___	___	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
उन_	न__	___	___	___	
सभी	भी_	ी__	___	___	
यूज	ूजर	जर्	र्स	्स_	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
हो_	ो__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
जो_	ो__	___	___	___	
प्ल	्ले	लेट	ेटफ	टफॉ	
बदल	दलन	लना	ना_	ा__	
चाह	ाहत	हते	ते_	े__	
हैं	ैं_	ं__	___	___	
लेक	ेकि	किन	िन_	न__	
बीब	ीबी	बीए	ीएम	एम_	
फ्र	्रे	रें	ेंड	ंड्	
-JO	JOI	OIN	IN_	N__	
लिस	िस्	स्ट	्ट_	ट__	
उन्	न्ह	्हे	हें	ें_	
ऐसा	सा_	ा__	___	___	
करन	रने	ने_	े__	___	
से_	े__	___	___	___	
रोक	ोकत	कती	ती_	ी__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

चूं	ूंक	ंकि	कि_	ि__	
इसक	सका	का_	ा__	___	
गोइ	ोइं	इंग	ंग_	ग__	
अच्	च्छ	्छा	छा_	ा__	
था_	ा__	___	___	___	
,__	___	___	___	___	
अत_	त__	___	___	___	
:__	___	___	___	___	
मैं	ैंन	ंने	ने_	े__	
एप्	प्प	्प्	प्ल	्ल_	
एप्	प्प	्प_	प__	___	
स्ट	्टो	टोर	ोर_	र__	
से_	े__	___	___	___	
बीब	ीबी	बीए	ीएम	एम_	
को_	ो__	___	___	___	
डाउ	ाउन	उनल	नलो	लोड	
कर_	र__	___	___	___	
लिय	िया	या_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

जिस	िस_	स__	___	___	
भी_	ी__	___	___	___	
व्य	्यक	यक्	क्त	्ति	
ने_	े__	___	___	___	
एक_	क__	___	___	___	
ओएस	एस_	स__	___	___	
के_	े__	___	___	___	
रूप	ूप_	प__	___	___	
में	ें_	ं__	___	___	
ब्ल	्लै	लैक	ैकब	कबे	
10_	0__	___	___	___	
का_	ा__	___	___	___	
अनु	नुभ	ुभव	भव_	व__	
नही	हीं	ीं_	ं__	___	
किय	िया	या_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
इस_	स__	___	___	___	
पर_	र__	___	___	___	
बीब	ीबी	बीए	ीएम	एम_	
का_	ा__	___	___	___	
उपय	पयो	योग	ोग_	ग__	
किय	िया	या_	ा__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
यह_	ह__	___	___	___	
यूआ	ूआर	आर्	र्इ	्इ_	
ऐसा	सा_	ा__	___	___	
है_	ै__	___	___	___	
जिस	िसक	सके	के_	े__	
उपय	पयो	योग	ोग_	ग__	
के_	े__	___	___	___	
बार	ारे	रे_	े__	___	
में	ें_	ं__	___	___	
आपक	पको	को_	ो__	___	
समझ	मझन	झने	ने_	े__	
की_	ी__	___	___	___	
जरू	रूर	ूरत	रत_	त__	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

हाल	ाला	लां	ांक	ंकि	
इसक	सके	के_	े__	___	
अधि	धिक	िकत	कतर	तर_	
भाग	ाग_	ग__	___	___	
सही	ही_	ी__	___	___	
स्ट	्टै	टैं	ैंड	ंडर	
रूप	ूप_	प__	___	___	
में	ें_	ं__	___	___	
दिख	िखत	खते	ते_	े__	
हैं	ैं_	ं__	___	___	
,__	___	___	___	___	
फिर	िर_	र__	___	___	
भी_	ी__	___	___	___	
पूर	ूरे	रे_	े__	___	
एप्	प्प	्प_	प__	___	
में	ें_	ं__	___	___	
साइ	ाइड	इड_	ड__	___	
स्व	्वा	वाइ	ाइप	इप्	
,__	___	___	___	___	
एक्	क्स	्से	सेस	ेस_	
और_	र__	___	___	___	
कार	ार्	र्य	्यश	यशै	
का_	ा__	___	___	___	
एक_	क__	___	___	___	
अन्	न्य	्य_	य__	___	
स्व	्वर	वरू	रूप	ूप_	
बढ़	ढ़ा	़ा_	ा__	___	
देत	ेते	ते_	े__	___	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

स्क	्क्	क्र	्री	रीन	
के_	े__	___	___	___	
नीच	ीचे	चे_	े__	___	
दिय	िया	या_	ा__	___	
गया	या_	ा__	___	___	
टैब	ैब_	ब__	___	___	
आपक	पको	को_	ो__	___	
चैट	ैट्	ट्स	्स_	स__	
,__	___	___	___	___	
कॉन	ॉन्	न्ट	्टै	टैक	
और_	र__	___	___	___	
ग्र	्रु	रुप	ुप्	प्स	
के_	े__	___	___	___	
बीच	ीच_	च__	___	___	
नेव	ेवि	विग	िगे	गेट	
करन	रने	ने_	े__	___	
की_	ी__	___	___	___	
सुव	ुवि	विध	िधा	धा_	
देत	ेता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

पूर	ूरे	रे_	े__	___	
एप्	प्प	्प_	प__	___	
में	ें_	ं__	___	___	
,__	___	___	___	___	
बाय	ाये	यें	ें_	ं__	
और_	र__	___	___	___	
दाय	ाये	यें	ें_	ं__	
हाथ	ाथ_	थ__	___	___	
पर_	र__	___	___	___	
स्थ	्थि	थित	ित_	त__	
साइ	ाइड	इड_	ड__	___	
मेन	ेन्	न्य	्यू	यू_	
से_	े__	___	___	___	
अधि	धिक	िक_	क__	___	
से_	े__	___	___	___	
अधि	धिक	िक_	क__	___	
ऑप्	प्श	्शन	शन्	न्स	
को_	ो__	___	___	___	
एक्	क्स	्से	सेस	ेस_	
किय	िया	या_	ा__	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
जिस	िसे	से_	े__	___	
साम	ामन	मने	ने_	े__	
खीच	ीचा	चा_	ा__	___	
और_	र__	___	___	___	
पीछ	ीछे	छे_	े__	___	
ढके	केल	ेला	ला_	ा__	
भी_	ी__	___	___	___	
जा_	ा__	___	___	___	
सकत	कता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

आपक	पकी	की_	ी__	___	
रूच	ूचि	चि_	ि__	___	
बना	नाय	ाये	ये_	े__	
रखन	खने	ने_	े__	___	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
,__	___	___	___	___	
इस_	स__	___	___	___	
एप्	प्प	्प_	प__	___	
में	ें_	ं__	___	___	
काल	ाले	ले_	े__	___	
,__	___	___	___	___	
आसम	समा	मान	ानी	नी_	
,__	___	___	___	___	
नील	ीले	ले_	े__	___	
और_	र__	___	___	___	
सफे	फेद	ेद_	द__	___	
रंग	ंग_	ग__	___	___	
के_	े__	___	___	___	
मिश	िश्	श्र	्रण	रण_	
से_	े__	___	___	___	
युक	ुक्	क्त	्त_	त__	
पर्	र्य	्या	याप	ाप्	
विज	िजु	जुअ	ुअल	अल_	
एली	लीम	ीमे	में	ेंट	
उपल	पलब	लब्	ब्ध	्ध_	
हैं	ैं_	ं__	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

कॉन	ॉन्	न्ट	्टै	टैक	
लिस	िस्	स्ट	्ट_	ट__	
या_	ा__	___	___	___	
तो_	ो__	___	___	___	
छोट	ोटे	टे_	े__	___	
कॉन	ॉन्	न्ट	्टै	टैक	
इमे	मेज	ेज_	ज__	___	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
हो_	ो__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
या_	ा__	___	___	___	
आपक	पके	के_	े__	___	
कॉन	ॉन्	न्ट	्टै	टैक	
में	ें_	ं__	___	___	
प्र	्रो	रोफ	ोफा	फाइ	
पिक	िक्	क्च	्चर	चर_	
के_	े__	___	___	___	
रूप	ूप_	प__	___	___	
में	ें_	ं__	___	___	
स्थ	्थि	थित	ित_	त__	
हाइ	ाइल	इला	लाइ	ाइट	
इमे	मेज	ेज_	ज__	___	
के_	े__	___	___	___	
साथ	ाथ_	थ__	___	___	
थम्	म्ब	्बन	बने	नेल	
के_	े__	___	___	___	
रूप	ूप_	प__	___	___	
में	ें_	ं__	___	___	
हो_	ो__	___	___	___	
सकत	कती	ती_	ी__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसम	समे	में	ें_	ं__	
बदल	दला	लाव	ाव_	व__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
कोर	ोर्	र्इ	्इ_	इ__	
क्व	्वि	विक	िक_	क__	
टोग	ोग्	ग्ग	्गल	गल_	
नही	हीं	ीं_	ं__	___	
है_	ै__	___	___	___	
,__	___	___	___	___	
और_	र__	___	___	___	
उसे	से_	े__	___	___	
बदल	दलन	लने	ने_	े__	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
आपक	पको	को_	ो__	___	
फुल	ुल_	ल__	___	___	
सेट	ेटि	टिं	िंग	ंग_	
मेन	ेन्	न्य	्यू	यू_	
में	ें_	ं__	___	___	
जान	ाना	ना_	ा__	___	
होग	ोगा	गा_	ा__	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

इसक	सके	के_	े__	___	
टेक	ेक्	क्स	्स्	स्ट	
आधा	धार	ारि	रित	ित_	
चैट	ैट_	ट__	___	___	
का_	ा__	___	___	___	
अनु	नुभ	ुभव	भव_	व__	
ठीक	ीक_	क__	___	___	
वैस	ैसा	सा_	ा__	___	
ही_	ी__	___	___	___	
होग	ोगा	गा_	ा__	___	
जैस	ैसा	सा_	ा__	___	
कि_	ि__	___	___	___	
आप_	प__	___	___	___	
आशा	शा_	ा__	___	___	
करत	रते	ते_	े__	___	
है_	ै__	___	___	___	
-__	___	___	___	___	
चैट	ैट_	ट__	___	___	
शुर	ुरू	रू_	ू__	___	
करन	रने	ने_	े__	___	
का_	ा__	___	___	___	
वही	ही_	ी__	___	___	
तरी	रीक	ीका	का_	ा__	
,__	___	___	___	___	
और_	र__	___	___	___	
हर_	र__	___	___	___	
कॉन	ॉन्	न्ट	्टै	टैक	
के_	े__	___	___	___	
लिए	िए_	ए__	___	___	
इनड	नडि	डिव	िवि	विज	
चैट	ैट_	ट__	___	___	
विं	िंड	ंडो	डो_	ो__	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

दूस	ूसर	सरे	रे_	े__	
हर_	र__	___	___	___	
मैस	ैसे	सेज	ेज_	ज__	
एप्	प्प	्प_	प__	___	
की_	ी__	___	___	___	
तरह	रह_	ह__	___	___	
,__	___	___	___	___	
बीब	ीबी	बीए	ीएम	एम_	
भी_	ी__	___	___	___	
ग्र	्रु	रुप	ुप_	प__	
चैट	ैट_	ट__	___	___	
ऑप्	प्श	्शन	शन_	न__	
प्र	्रद	रदा	दान	ान_	
करत	रता	ता_	ा__	___	
है_	ै__	___	___	___	
।__	___	___	___	___	
EOL	OL_	L__	___	___	

फिल	िलह	लहा	हाल	ाल_	
,__	___	___	___	___	
इसम	समे	में	ें_	ं__	
कोर	ोर्	र्इ	्इ_	इ__	
वीड	ीडि	डिय	ियो	यो_	
या_	ा__	___	___	___	
वॉय	ॉयस	यस_	स__	___	
कॉल	ॉल_	ल__	___	___	
सपो	पोर	ोर्	र्ट	्ट_	
