बु	ुध	धव	वा	ार	
।_	__	__	__	__	
EO	OL	L_	__	__	

एं	ंड	ड्	्र	रॉ	
4.	.4	4.	.4	4_	
से	े_	__	__	__	
ऊप	पर	र_	__	__	
के	े_	__	__	__	
वर	र्	्ज	जन	न_	
पर	र_	__	__	__	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
का	ाम	म_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

Tw	wi	it	tt	te	
pe	er	ri	is	sc	
Ap	pp	p_	__	__	
एं	ंड	ड्	्र	रॉ	
4.	.4	4.	.4	4_	
कि	िट	टक	कै	ैट	
या	ा_	__	__	__	
उस	सस	से	े_	__	
ऊप	पर	र_	__	__	
के	े_	__	__	__	
वर	र्	्ज	जन	न_	
पर	र_	__	__	__	
का	ाम	म_	__	__	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कं	ंप	पन	नी	ी_	
के	े_	__	__	__	
मु	ुत	ता	ाब	बि	
,_	__	__	__	__	
एं	ंड	ड्	्र	रॉ	
के	े_	__	__	__	
लि	िए	ए_	__	__	
आए	ए_	__	__	__	
पे	ेर	रि	िस	स्	
मे	ें	ं_	__	__	
सभ	भी	ी_	__	__	
को	ोर	र_	__	__	
फी	ीच	चर	र्	्स	
है	ैं	ं_	__	__	
जो	ो_	__	__	__	
यू	ूज	जर	र्	्स	
द्	्व	वा	ार	रा	
पस	सं	ंद	द_	__	
कि	िय	ये	े_	__	
गए	ए_	__	__	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पे	ेर	रि	िस	स्	
के	े_	__	__	__	
एं	ंड	ड्	्र	रॉ	
वर	र्	्ज	जन	न_	
मे	ें	ं_	__	__	
कु	ुछ	छ_	__	__	
ऎस	से	े_	__	__	
यू	ून	नि	िक	क_	
फी	ीच	चर	र्	्स	
भी	ी_	__	__	__	
है	ैं	ं_	__	__	
दि	िए	ए_	__	__	
गए	ए_	__	__	__	
है	ैं	ं_	__	__	
जो	ो_	__	__	__	
आई	ईओ	ओए	एस	स_	
मे	ें	ं_	__	__	
नह	ही	ीं	ं_	__	
दि	िए	ए_	__	__	
गए	ए_	__	__	__	
थे	े_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
मे	ेट	टे	ेर	रि	
इन	न्	्स	स्	्प	
डि	िज	जा	ाइ	इन	
है	ै_	__	__	__	
जो	ो_	__	__	__	
एं	ंड	ड्	्र	रॉ	
यू	ूज	जर	र्	्स	
को	ो_	__	__	__	
मॉ	ॉड	डर	र्	्न	
लग	गे	ेग	गा	ा_	
।_	__	__	__	__	
EO	OL	L_	__	__	

पे	ेर	रि	िस	स्	
एप	प_	__	__	__	
यू	ूज	जर	र्	्स	
भी	ी_	__	__	__	
अड	डि	िश	शन	नल	
पु	ुश	श_	__	__	
नो	ोट	टि	िफ	फि	
से	ेट	टि	िं	ंग	
अप	पन	ने	े_	__	
हि	िस	सा	ाब	ब_	
से	े_	__	__	__	
से	ेट	ट_	__	__	
कर	र_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
जै	ैस	से	े_	__	
फर	र्	्स	स्	्ट	
टा	ाइ	इम	म_	__	
ब्	्र	रॉ	ॉड	डक	
नो	ोट	टि	िफ	फि	
और	र_	__	__	__	
शे	ेय	यर	र_	__	
नो	ोट	टि	िफ	फि	
।_	__	__	__	__	
EO	OL	L_	__	__	

पे	ेर	रि	िस	स्	
एप	प_	__	__	__	
मे	ें	ं_	__	__	
रि	िज	ज्	्य	यू	
नो	ोट	टि	िफ	फि	
फी	ीच	चर	र_	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
है	ै_	__	__	__	
जो	ो_	__	__	__	
बह	हु	ुत	त_	__	
ही	ी_	__	__	__	
खा	ास	स_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फी	ीच	चर	र_	__	
के	े_	__	__	__	
तह	हत	त_	__	__	
यू	ूज	जर	र_	__	
ब्	्र	रॉ	ॉड	डक	
के	े_	__	__	__	
जर	रि	िए	ए_	__	
दे	ेख	खे	े_	__	
जा	ान	ने	े_	__	
वा	ाल	ले	े_	__	
वी	ीड	डि	िय	यो	
रू	ूक	कन	ने	े_	
पर	र_	__	__	__	
फि	िर	र_	__	__	
वह	ही	ीं	ं_	__	
से	े_	__	__	__	
दे	ेा	ा_	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
जह	हा	ां	ं_	__	
वो	ो_	__	__	__	
रू	ूक	का	ा_	__	
था	ा_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	के	े_	__	
अल	ला	ाव	वा	ा_	
इस	सक	के	े_	__	
दू	ूस	सर	रे	े_	
फी	ीच	चर	र्	्स	
मे	ें	ं_	__	__	
बि	िन	ना	ा_	__	
ब्	्र	रॉ	ॉड	डक	
के	े_	__	__	__	
फा	ाइ	इल	ल_	__	
अप	पल	लो	ोड	ड_	
कि	िय	ये	े_	__	
भी	ी_	__	__	__	
रि	िप	प्	्प	पल	
से	ेव	व_	__	__	
हो	ो_	__	__	__	
जा	ात	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
फी	ीच	चर	र_	__	
के	े_	__	__	__	
तह	हत	त_	__	__	
ब्	्र	रॉ	ॉड	डक	
का	ा_	__	__	__	
टा	ाइ	इम	म_	__	
और	र_	__	__	__	
मो	ोब	बा	ाइ	इल	
डे	ेट	टा	ा_	__	
दो	ोन	नो	ों	ं_	
की	ी_	__	__	__	
बच	चत	त_	__	__	
हो	ोत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	पक	के	े_	__	
स्	्म	मा	ार	र्	
मे	ें	ं_	__	__	
ज्	्य	या	ाद	दा	
एप	प_	__	__	__	
ऎस	से	े_	__	__	
ही	ी_	__	__	__	
है	ैं	ं_	__	__	
जि	िन	नस	से	े_	
आप	पक	को	ो_	__	
अप	पन	नी	ी_	__	
जे	ेब	ब_	__	__	
का	ा_	__	__	__	
पै	ैस	सा	ा_	__	
खर	र्	्च	च_	__	
कर	र_	__	__	__	
ही	ी_	__	__	__	
कु	ुछ	छ_	__	__	
का	ाम	म_	__	__	
लि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
एक	क_	__	__	__	
ऎस	सी	ी_	__	__	
एप	प_	__	__	__	
भी	ी_	__	__	__	
है	ै_	__	__	__	
जि	िस	सम	मे	ें	
आप	पक	को	ो_	__	
ना	ा_	__	__	__	
के	ेव	वल	ल_	__	
फ्	्र	री	ी_	__	
मे	ें	ं_	__	__	
रि	िच	चा	ार	र्	
मि	िल	ल_	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
बल	ल्	्क	कि	ि_	
डि	िस	स्	्क	का	
कू	ूप	पन	न_	__	
भी	ी_	__	__	__	
प्	्र	रा	ाप	प्	
कि	िए	ए_	__	__	
जा	ा_	__	__	__	
सक	कत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

गू	ूग	गल	ल_	__	
प्	्ल	ले	े_	__	
स्	्ट	टो	ोर	र_	
पर	र_	__	__	__	
इस	स_	__	__	__	
एप	प_	__	__	__	
को	ो_	__	__	__	
फ्	्र	री	ी_	__	
मे	ें	ं_	__	__	
अप	पन	ने	े_	__	
मो	ोब	बा	ाइ	इल	
मे	ें	ं_	__	__	
डा	ाउ	उन	नल	लो	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्ल	लि	िक	क_	
इं	ंट	टर	रफ	फे	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

मै	ैस	से	ें	ंज	
अब	ब_	__	__	__	
ब्	्ल	लै	ैक	कब	
स्	्म	मा	ार	र्	
तक	क_	__	__	__	
ही	ी_	__	__	__	
सी	ीम	मि	ित	त_	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

3ज	जी	ी_	__	__	
पर	र_	__	__	__	
मै	ैस	से	ेज	ज_	
डि	िल	ली	ीव	वर	
व्	्ह	हा	ाट	ट्	
और	र_	__	__	__	
आर	र्	्इ	इम	मै	
की	ी_	__	__	__	
तु	ुल	लन	ना	ा_	
मे	ें	ं_	__	__	
बह	हु	ुत	त_	__	
ते	ेज	ज_	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

व्	्ह	हा	ाट	ट्	
जै	ैस	सा	ा_	__	
फी	ीच	चर	र_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

ऑट	टो	ो_	__	__	
कर	रे	े​	​क	क्	
के	े_	__	__	__	
दौ	ौर	रा	ान	न_	
स्	्ट	टॉ	ॉक	क_	
आर	र्	्इ	इओ	ओए	
की	ीब	बो	ोर	र्	
अल	लग	ग_	__	__	
तर	रह	ह_	__	__	
से	े_	__	__	__	
का	ाम	म_	__	__	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

प्	्र	रत	ति	िस	
पर	र_	__	__	__	
भा	ार	री	ी_	__	
पड	ड़	़न	ने	े_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
वॉ	ॉय	यस	स_	__	
और	र_	__	__	__	
वी	ीड	डि	िय	यो	
कॉ	ॉल	ल्	्स	स_	
की	ी_	__	__	__	
जर	रू	ूर	रत	त_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
कि	िस	सी	ी_	__	
भी	ी_	__	__	__	
सा	ाध	धन	न_	__	
से	े_	__	__	__	
प्	्र	रा	ाप	प्	
एक	क_	__	__	__	
क्	्र	रा	ां	ंत	
मै	ैं	ंस	से	ें	
नह	ही	ीं	ं_	__	
,_	__	__	__	__	
ले	ेक	कि	िन	न_	
मै	ैस	से	ें	ंज	
क्	्ल	ला	ाए	एं	
से	े_	__	__	__	
भर	रप	पू	ूर	र_	
एक	क_	__	__	__	
इक	को	ो_	__	__	
सि	िस	स्	्ट	टम	
मे	ें	ं_	__	__	
,_	__	__	__	__	
यह	ह_	__	__	__	
सब	बस	से	े_	__	
स्	्ल	लि	िक	के	
ऑप	प्	्श	शन	न्	
मे	ें	ं_	__	__	
से	े_	__	__	__	
एक	क_	__	__	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

यह	ह_	__	__	__	
शा	ाय	यद	द_	__	
सब	बस	से	े_	__	
अच	च्	्छ	छी	ी_	
बा	ात	त_	__	__	
है	ै_	__	__	__	
जो	ो_	__	__	__	
उन	न_	__	__	__	
सभ	भी	ी_	__	__	
यू	ूज	जर	र्	्स	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
हो	ो_	__	__	__	
सक	कत	ती	ी_	__	
है	ै_	__	__	__	
जो	ो_	__	__	__	
प्	्ल	ले	ेट	टफ	
बद	दल	लन	ना	ा_	
चा	ाह	हत	ते	े_	
है	ैं	ं_	__	__	
ले	ेक	कि	िन	न_	
बी	ीब	बी	ीए	एम	
फ्	्र	रे	ें	ंड	
-J	JO	OI	IN	N_	
लि	िस	स्	्ट	ट_	
उन	न्	्ह	हे	ें	
ऐस	सा	ा_	__	__	
कर	रन	ने	े_	__	
से	े_	__	__	__	
रो	ोक	कत	ती	ी_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

चू	ूं	ंक	कि	ि_	
इस	सक	का	ा_	__	
गो	ोइ	इं	ंग	ग_	
अच	च्	्छ	छा	ा_	
था	ा_	__	__	__	
,_	__	__	__	__	
अत	त_	__	__	__	
:_	__	__	__	__	
मै	ैं	ंन	ने	े_	
एप	प्	्प	प्	्ल	
एप	प्	्प	प_	__	
स्	्ट	टो	ोर	र_	
से	े_	__	__	__	
बी	ीब	बी	ीए	एम	
को	ो_	__	__	__	
डा	ाउ	उन	नल	लो	
कर	र_	__	__	__	
लि	िय	या	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

जि	िस	स_	__	__	
भी	ी_	__	__	__	
व्	्य	यक	क्	्त	
ने	े_	__	__	__	
एक	क_	__	__	__	
ओए	एस	स_	__	__	
के	े_	__	__	__	
रू	ूप	प_	__	__	
मे	ें	ं_	__	__	
ब्	्ल	लै	ैक	कब	
10	0_	__	__	__	
का	ा_	__	__	__	
अन	नु	ुभ	भव	व_	
नह	ही	ीं	ं_	__	
कि	िय	या	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
इस	स_	__	__	__	
पर	र_	__	__	__	
बी	ीब	बी	ीए	एम	
का	ा_	__	__	__	
उप	पय	यो	ोग	ग_	
कि	िय	या	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
यह	ह_	__	__	__	
यू	ूआ	आर	र्	्इ	
ऐस	सा	ा_	__	__	
है	ै_	__	__	__	
जि	िस	सक	के	े_	
उप	पय	यो	ोग	ग_	
के	े_	__	__	__	
बा	ार	रे	े_	__	
मे	ें	ं_	__	__	
आप	पक	को	ो_	__	
सम	मझ	झन	ने	े_	
की	ी_	__	__	__	
जर	रू	ूर	रत	त_	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

हा	ाल	ला	ां	ंक	
इस	सक	के	े_	__	
अध	धि	िक	कत	तर	
भा	ाग	ग_	__	__	
सह	ही	ी_	__	__	
स्	्ट	टै	ैं	ंड	
रू	ूप	प_	__	__	
मे	ें	ं_	__	__	
दि	िख	खत	ते	े_	
है	ैं	ं_	__	__	
,_	__	__	__	__	
फि	िर	र_	__	__	
भी	ी_	__	__	__	
पू	ूर	रे	े_	__	
एप	प्	्प	प_	__	
मे	ें	ं_	__	__	
सा	ाइ	इड	ड_	__	
स्	्व	वा	ाइ	इप	
,_	__	__	__	__	
एक	क्	्स	से	ेस	
और	र_	__	__	__	
का	ार	र्	्य	यश	
का	ा_	__	__	__	
एक	क_	__	__	__	
अन	न्	्य	य_	__	
स्	्व	वर	रू	ूप	
बढ	ढ़	़ा	ा_	__	
दे	ेत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

स्	्क	क्	्र	री	
के	े_	__	__	__	
नी	ीच	चे	े_	__	
दि	िय	या	ा_	__	
गय	या	ा_	__	__	
टै	ैब	ब_	__	__	
आप	पक	को	ो_	__	
चै	ैट	ट्	्स	स_	
,_	__	__	__	__	
कॉ	ॉन	न्	्ट	टै	
और	र_	__	__	__	
ग्	्र	रु	ुप	प्	
के	े_	__	__	__	
बी	ीच	च_	__	__	
ने	ेव	वि	िग	गे	
कर	रन	ने	े_	__	
की	ी_	__	__	__	
सु	ुव	वि	िध	धा	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

पू	ूर	रे	े_	__	
एप	प्	्प	प_	__	
मे	ें	ं_	__	__	
,_	__	__	__	__	
बा	ाय	ये	ें	ं_	
और	र_	__	__	__	
दा	ाय	ये	ें	ं_	
हा	ाथ	थ_	__	__	
पर	र_	__	__	__	
स्	्थ	थि	ित	त_	
सा	ाइ	इड	ड_	__	
मे	ेन	न्	्य	यू	
से	े_	__	__	__	
अध	धि	िक	क_	__	
से	े_	__	__	__	
अध	धि	िक	क_	__	
ऑप	प्	्श	शन	न्	
को	ो_	__	__	__	
एक	क्	्स	से	ेस	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
जि	िस	से	े_	__	
सा	ाम	मन	ने	े_	
खी	ीच	चा	ा_	__	
और	र_	__	__	__	
पी	ीछ	छे	े_	__	
ढक	के	ेल	ला	ा_	
भी	ी_	__	__	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	पक	की	ी_	__	
रू	ूच	चि	ि_	__	
बन	ना	ाय	ये	े_	
रख	खन	ने	े_	__	
के	े_	__	__	__	
लि	िए	ए_	__	__	
,_	__	__	__	__	
इस	स_	__	__	__	
एप	प्	्प	प_	__	
मे	ें	ं_	__	__	
का	ाल	ले	े_	__	
,_	__	__	__	__	
आस	सम	मा	ान	नी	
,_	__	__	__	__	
नी	ील	ले	े_	__	
और	र_	__	__	__	
सफ	फे	ेद	द_	__	
रं	ंग	ग_	__	__	
के	े_	__	__	__	
मि	िश	श्	्र	रण	
से	े_	__	__	__	
यु	ुक	क्	्त	त_	
पर	र्	्य	या	ाप	
वि	िज	जु	ुअ	अल	
एल	ली	ीम	मे	ें	
उप	पल	लब	ब्	्ध	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कॉ	ॉन	न्	्ट	टै	
लि	िस	स्	्ट	ट_	
या	ा_	__	__	__	
तो	ो_	__	__	__	
छो	ोट	टे	े_	__	
कॉ	ॉन	न्	्ट	टै	
इम	मे	ेज	ज_	__	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
हो	ो_	__	__	__	
सक	कत	ती	ी_	__	
है	ै_	__	__	__	
या	ा_	__	__	__	
आप	पक	के	े_	__	
कॉ	ॉन	न्	्ट	टै	
मे	ें	ं_	__	__	
प्	्र	रो	ोफ	फा	
पि	िक	क्	्च	चर	
के	े_	__	__	__	
रू	ूप	प_	__	__	
मे	ें	ं_	__	__	
स्	्थ	थि	ित	त_	
हा	ाइ	इल	ला	ाइ	
इम	मे	ेज	ज_	__	
के	े_	__	__	__	
सा	ाथ	थ_	__	__	
थम	म्	्ब	बन	ने	
के	े_	__	__	__	
रू	ूप	प_	__	__	
मे	ें	ं_	__	__	
हो	ो_	__	__	__	
सक	कत	ती	ी_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सम	मे	ें	ं_	
बद	दल	ला	ाव	व_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
को	ोर	र्	्इ	इ_	
क्	्व	वि	िक	क_	
टो	ोग	ग्	्ग	गल	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
और	र_	__	__	__	
उस	से	े_	__	__	
बद	दल	लन	ने	े_	
के	े_	__	__	__	
लि	िए	ए_	__	__	
आप	पक	को	ो_	__	
फु	ुल	ल_	__	__	
से	ेट	टि	िं	ंग	
मे	ेन	न्	्य	यू	
मे	ें	ं_	__	__	
जा	ान	ना	ा_	__	
हो	ोग	गा	ा_	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	सक	के	े_	__	
टे	ेक	क्	्स	स्	
आध	धा	ार	रि	ित	
चै	ैट	ट_	__	__	
का	ा_	__	__	__	
अन	नु	ुभ	भव	व_	
ठी	ीक	क_	__	__	
वै	ैस	सा	ा_	__	
ही	ी_	__	__	__	
हो	ोग	गा	ा_	__	
जै	ैस	सा	ा_	__	
कि	ि_	__	__	__	
आप	प_	__	__	__	
आश	शा	ा_	__	__	
कर	रत	ते	े_	__	
है	ै_	__	__	__	
-_	__	__	__	__	
चै	ैट	ट_	__	__	
शु	ुर	रू	ू_	__	
कर	रन	ने	े_	__	
का	ा_	__	__	__	
वह	ही	ी_	__	__	
तर	री	ीक	का	ा_	
,_	__	__	__	__	
और	र_	__	__	__	
हर	र_	__	__	__	
कॉ	ॉन	न्	्ट	टै	
के	े_	__	__	__	
लि	िए	ए_	__	__	
इन	नड	डि	िव	वि	
चै	ैट	ट_	__	__	
वि	िं	ंड	डो	ो_	
।_	__	__	__	__	
EO	OL	L_	__	__	

दू	ूस	सर	रे	े_	
हर	र_	__	__	__	
मै	ैस	से	ेज	ज_	
एप	प्	्प	प_	__	
की	ी_	__	__	__	
तर	रह	ह_	__	__	
,_	__	__	__	__	
बी	ीब	बी	ीए	एम	
भी	ी_	__	__	__	
ग्	्र	रु	ुप	प_	
चै	ैट	ट_	__	__	
ऑप	प्	्श	शन	न_	
प्	्र	रद	दा	ान	
कर	रत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

फि	िल	लह	हा	ाल	
,_	__	__	__	__	
इस	सम	मे	ें	ं_	
को	ोर	र्	्इ	इ_	
वी	ीड	डि	िय	यो	
या	ा_	__	__	__	
वॉ	ॉय	यस	स_	__	
कॉ	ॉल	ल_	__	__	
सप	पो	ोर	र्	्ट	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

चै	ैट	ट_	__	__	
के	े_	__	__	__	
अं	ंद	दर	र_	__	
मै	ैस	से	ेज	ज_	
डि	िल	ली	ीव	वर	
बि	िल	ल्	्क	कु	
रि	िय	यल	ल_	__	
टा	ाइ	इम	म_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

आप	पक	के	े_	__	
बी	ीब	बी	ीए	एम	
प्	्र	रो	ोफ	फा	
को	ो_	__	__	__	
स्	्क	क्	्र	री	
के	े_	__	__	__	
टॉ	ॉप	प_	__	__	
पर	र_	__	__	__	
स्	्थ	थि	ित	त_	
बा	ार	र_	__	__	
के	े_	__	__	__	
द्	्व	वा	ार	रा	
एक	क्	्स	से	ेस	
कि	िय	या	ा_	__	
जा	ा_	__	__	__	
सक	कत	ता	ा_	__	
है	ै_	__	__	__	
,_	__	__	__	__	
जह	हा	ां	ं_	__	
कि	ि_	__	__	__	
प्	्र	रो	ोफ	फा	
पि	िक	क्	्च	चर	
और	र_	__	__	__	
स्	्ट	टे	ेट	टस	
अप	पड	डे	ेट	ट_	
हो	ोत	ते	े_	__	
है	ैं	ं_	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

कम	म्	्प	पा	ाइ	
:_	__	__	__	__	
आर	र्	्इ	इफ	फो	
जि	िस	स_	__	__	
पर	र_	__	__	__	
आर	र्	्इ	इओ	ओए	
और	र_	__	__	__	
आर	र्	्इ	इओ	ओए	
EO	OL	L_	__	__	

अप	पन	ने	े_	__	
प्	्र	रत	ति	िस	
के	े_	__	__	__	
मु	ुक	का	ाब	बल	
ज्	्य	या	ाद	दा	
चै	ैन	नल	ल_	__	
दे	ेत	ता	ा_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

अच	च्	्छ	छी	ी_	
स्	्ट	ट्	्र	री	
क्	्व	वा	ाल	लि	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

मै	ैस	सि	िव	व_	
वी	ीड	डि	िय	यो	
ला	ाइ	इब	ब्	्र	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

बो	ोर	र्	्ड	ड_	
पर	र_	__	__	__	
अभ	भी	ी_	__	__	
तक	क_	__	__	__	
को	ोर	र्	्इ	इ_	
स्	्प	पो	ोर	र्	
चै	ैन	नल	ल_	__	
नह	ही	ीं	ं_	__	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

इस	स_	__	__	__	
सम	मय	य_	__	__	
के	ेव	वल	ल_	__	
एं	ंड	ड्	्र	रॉ	
डि	िव	वा	ाइ	इस	
पर	र_	__	__	__	
ही	ी_	__	__	__	
उप	पल	लब	ब्	्ध	
है	ै_	__	__	__	
।_	__	__	__	__	
EO	OL	L_	__	__	

एय	यर	रट	टे	ेल	
डि	िज	जि	िट	टल	
टी	ीव	वी	ी_	__	
(_	__	__	__	__	
डी	ीट	टी	ीए	एच	
)_	__	__	__	__	
ग्	्र	रा	ाह	हक	
के	े_	__	__	__	
लि	िए	ए_	__	__	
,_	__	__	__	__	
इस	स_	__	__	__	
मू	ूव	व_	__	__	
पर	र_	__	__	__	
ला	ाइ	इव	व_	__	
टी	ीव	वी	ी_	__	
सब	ब्	्स	सक	क्	
कर	रन	ने	े_	__	
का	ा_	__	__	__	
यह	ह_	__	__	__	
सं	ंक	के	ेत	त_	
